query_name,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat
Cicuta maculata,Cicuta maculata,2015,Least Concern,NA,NA,NA,NA,NA,NA,47,Yes,10574724.79,184,EN,5858100.979,LC,5870721.164,LC,5586878.532,LC,3,378962.73,8,CR,0,CR,0,CR,0,CR,44,10509441.04,176,EN,5842010.622,LC,5854592.684,LC,5570750.052,LC
Cicuta virosa,Cicuta virosa,2013,Least Concern,NA,NA,NA,NA,NA,NA,22897,Yes,43754434.34,41308,LC,33329486.87,LC,33801423.18,LC,24766974.93,LC,17574,29537658.04,31800,LC,25573651.96,LC,24502394.46,LC,22506764.47,LC,5323,42351028.42,12748,LC,26233867.29,LC,27555016.39,LC,19713569.1,LC
Citharexylum spinosum,Citharexylum spinosum,2018,Least Concern,516,516,VU,2748455.88,2748455.88,LC,79,Yes,112010901.1,172,EN,47083671.11,LC,61492831.94,LC,19126799.45,LC,61,89005216.4,100,EN,35270427.74,LC,30020055.43,LC,8079849.562,LC,18,111034532.4,72,EN,28753060.37,LC,35613863.96,LC,13086096.49,LC
Cladium mariscoides,Cladium mariscoides,2015,Least Concern,NA,NA,NA,NA,NA,NA,89,Yes,816573.5439,132,EN,436750.0483,LC,435994.0143,LC,435994.0143,LC,1,0,4,CR,0,CR,0,CR,0,CR,88,816573.5439,124,EN,436750.0483,LC,435994.0143,LC,435994.0143,LC
Cladium mariscus,Cladium mariscus,2016,Least Concern,NA,NA,NA,NA,NA,NA,16807,Yes,293059732.2,11804,LC,164038095.1,LC,164530023.1,LC,62907334.1,LC,9110,265754005.8,9084,LC,126792223.2,LC,129147433.4,LC,51646390.92,LC,7697,285063358.9,5500,LC,156128025.8,LC,150527379.1,LC,57644481.11,LC
Claytonia sarmentosa,Claytonia sarmentosa,2015,Least Concern,NA,NA,NA,NA,NA,NA,11,Yes,1507998.574,36,EN,724954.6645,LC,3637231.378,LC,1945190.689,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1507998.574,36,EN,724954.6645,LC,3637231.378,LC,1945190.689,LC
Claytonia tuberosa,Claytonia tuberosa,2015,Least Concern,NA,NA,NA,NA,NA,NA,4,Yes,8387697.98,16,EN,12935.48524,VU,36044.35993,LC,17897.6196,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8387697.98,16,EN,12935.48524,VU,36044.35993,LC,17897.6196,VU
Clusia rosea,Clusia rosea,2018,Least Concern,1060,1060,VU,30899822.91,30899822.91,LC,49,Yes,120825520.6,152,EN,27108223.91,LC,27473365.99,LC,5467698.742,LC,5,1582273.223,16,EN,567446.2623,LC,571711.712,LC,179702.0112,LC,44,120825520.6,132,EN,27108223.91,LC,27473365.99,LC,5467698.742,LC
Cnidoscolus urens,Cnidoscolus urens,2018,Least Concern,3900,3900,LC,35560055.91,35560055.91,LC,176,Yes,40548125.04,568,VU,15639304.02,LC,17003280.42,LC,7048366.046,LC,1,0,4,CR,0,CR,0,CR,0,CR,175,35404101.22,556,VU,14453646.6,LC,15848771.93,LC,6509890.033,LC
Coccoloba diversifolia,Coccoloba diversifolia,2018,Least Concern,952,952,VU,4479780.61,4479780.61,LC,34,Yes,1503649.963,88,EN,437808.1621,LC,446366.7579,LC,19798.65284,VU,1,0,4,CR,0,CR,0,CR,0,CR,33,1503649.963,92,EN,437808.1621,LC,446366.7579,LC,19798.65284,VU
Coccoloba uvifera,Coccoloba uvifera,2018,Least Concern,2796,2796,NT,24293278.96,24293278.96,LC,543,Yes,191803175.4,1432,VU,96364083.25,LC,100839888.5,LC,33688824.47,LC,76,125142727.1,156,EN,46230830.87,LC,46068449.57,LC,13780290.52,LC,467,191803175.4,1308,VU,96344209.61,LC,100819479.1,LC,33680242.41,LC
Coleanthus subtilis,Coleanthus subtilis,2015,Least Concern,NA,NA,NA,NA,NA,NA,148,Yes,20373160.07,108,EN,7582341.632,LC,8117115.156,LC,4223809.703,LC,61,392723.0654,68,EN,95305.63193,LC,93269.99718,LC,93177.49119,LC,87,20373160.07,84,EN,7582341.632,LC,8117115.156,LC,4223809.703,LC
Colubrina arborescens,Colubrina arborescens,2018,Least Concern,NA,NA,NA,NA,NA,NA,5,Yes,3903932.545,20,EN,138459.4556,LC,169523.2023,LC,63614.07435,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3903932.545,20,EN,138459.4556,LC,169523.2023,LC,63614.07435,LC
Colubrina greggii,Colubrina greggii,2018,Least Concern,1468,1468,VU,1591352.69,1591352.69,LC,27,Yes,12050.60555,52,EN,3761.743807,EN,3871.497089,EN,3871.497089,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,12050.60555,52,EN,3761.743807,EN,3871.497089,EN,3871.497089,EN
Comarum palustre,Comarum palustre,2015,Least Concern,NA,NA,NA,NA,NA,NA,33450,Yes,71477808.31,54212,LC,56948110.84,LC,56217112.43,LC,38238277.68,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33450,71477808.31,54212,LC,56948110.84,LC,56217112.43,LC,38238277.68,LC
Commelina benghalensis,Commelina benghalensis,2018,Least Concern,NA,NA,NA,NA,NA,NA,1102,Yes,257129864.2,1848,VU,178830362.1,LC,177991425.5,LC,63893076.21,LC,738,122629172.6,1224,VU,81757586.63,LC,81382260.27,LC,33315064.37,LC,364,254538261.8,676,VU,174531200.2,LC,177991425.5,LC,63893076.21,LC
Commelina diffusa,Commelina diffusa,2018,Least Concern,NA,NA,NA,NA,NA,NA,1051,Yes,273409812.7,2528,NT,195329117.2,LC,206993226,LC,67303405.1,LC,583,193379883.9,1600,VU,148829877.6,LC,156899687.3,LC,48791967.38,LC,468,273409812.7,1064,VU,178451949.4,LC,201730950.5,LC,67302094.33,LC
Commelina erecta,Commelina erecta,2010,Least Concern,NA,NA,NA,NA,NA,NA,489,Yes,104173951.4,1300,VU,54209583.79,LC,54600840.35,LC,22617001.27,LC,198,38194528.03,564,VU,16103125.03,LC,16474259.6,LC,5340044.56,LC,291,96361262.56,740,VU,49534681.8,LC,49463837.58,LC,19315391.73,LC
Condalia hookeri,Condalia hookeri,2018,Least Concern,460,460,EN,1256761.09,1256761.09,LC,84,Yes,258259.5668,296,EN,171100.3881,LC,171189.2608,LC,169667.1818,LC,2,24505.99638,8,CR,0,CR,0,CR,0,CR,82,258259.5668,280,EN,170734.6307,LC,170952.1051,LC,169594.081,LC
Conocarpus erectus,Conocarpus erectus,2007,Least Concern,NA,NA,NA,NA,NA,NA,46,Yes,36760668.41,108,EN,23920351.11,LC,24270886.96,LC,6373201.54,LC,25,20766951.73,56,EN,9506942.239,LC,9635855.555,LC,1189150.672,LC,21,36090528.31,60,EN,23565837.04,LC,23891903.94,LC,6325114.012,LC
Cordia boissieri,Cordia boissieri,2018,Least Concern,2048,2048,NT,2468972.9,2468972.9,LC,154,Yes,4666582.709,424,EN,1701461.568,LC,1770367.527,LC,507976.507,LC,8,139031.0298,28,EN,75076.96285,LC,74324.3354,LC,74324.3354,LC,146,4666582.709,388,EN,1701461.568,LC,1770367.527,LC,507976.507,LC
Cordia sebestena,Cordia sebestena,2014,Least Concern,NA,NA,NA,10500000,10500000,LC,26,Yes,21616867.39,80,EN,5454743.336,LC,5774666.107,LC,603203.4029,LC,13,20475991.42,36,EN,3067781.293,LC,3190875.621,LC,458341.0549,LC,13,4201420.648,44,EN,1893471.462,LC,1925895.737,LC,272992.9652,LC
Cordyline fruticosa,Cordyline fruticosa,2018,Least Concern,808,808,VU,15638333.64,15638333.64,LC,219,Yes,258029345.3,644,VU,190327902.6,LC,214493235.4,LC,60569664.83,LC,85,125153080.6,240,EN,78526928.05,LC,109396232.3,LC,29160021.83,LC,134,258029345.3,416,EN,189111018.4,LC,214493235.4,LC,60569664.83,LC
Cornus alternifolia,Cornus alternifolia,2018,Least Concern,NA,NA,NA,5160000,5160000,LC,476,Yes,5438991.684,1464,VU,3101279.521,LC,3018475.196,LC,2857843.826,LC,12,1068941.33,36,EN,449084.2452,LC,439267.2126,LC,439267.2126,LC,464,5438991.684,1448,VU,3101279.521,LC,3018475.196,LC,2857843.826,LC
Cornus amomum,Cornus amomum,2018,Least Concern,NA,NA,NA,2319000,2319000,LC,297,Yes,3283111.171,880,VU,1945199.984,LC,1881674.963,LC,1798477.374,LC,8,829876.0689,20,EN,245454.2573,LC,248769.6253,LC,248769.6253,LC,289,3283111.171,860,VU,1944310.713,LC,1880800.195,LC,1797602.606,LC
Cornus drummondii,Cornus drummondii,2018,Least Concern,NA,NA,NA,2242000,2242000,LC,471,Yes,2652806.906,1184,VU,1576063.41,LC,1572429.125,LC,1560997.087,LC,8,1172167.659,24,EN,725058.5924,LC,723076.2454,LC,723076.2454,LC,463,2652806.906,1160,VU,1576063.41,LC,1572429.125,LC,1560997.087,LC
Cornus florida,Cornus florida,2018,Least Concern,NA,NA,NA,NA,NA,NA,1288,Yes,46101602.17,3884,LC,21728250.67,LC,20619357.07,LC,5604173.145,LC,33,23662529.07,104,EN,8070262.075,LC,7176271.033,LC,2139348.356,LC,1255,46101602.17,3844,LC,21728250.67,LC,20619357.07,LC,5604173.145,LC
Cornus foemina,Cornus foemina,2018,Least Concern,NA,NA,NA,2214000,2214000,LC,293,Yes,2487120.182,272,EN,1428591.852,LC,1489493.127,LC,1244882.911,LC,5,163078.1824,8,CR,0,CR,0,CR,0,CR,288,2487120.182,276,EN,1428591.852,LC,1489493.127,LC,1244882.911,LC
Cornus glabrata,Cornus glabrata,2018,Least Concern,1200,1200,VU,323700,323700,LC,6,Yes,123578.8775,20,EN,57200.21986,LC,56456.79649,LC,56456.79649,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,123578.8775,20,EN,57200.21986,LC,56456.79649,LC,56456.79649,LC
Cornus nuttallii,Cornus nuttallii,2018,Least Concern,2880,2880,NT,704500,704500,LC,216,Yes,1269098.573,628,VU,864408.0524,LC,889982.6169,LC,876084.7982,LC,7,516299.0964,28,EN,193630.6578,LC,217317.4201,LC,216344.6592,LC,209,1269098.573,612,VU,864408.0524,LC,889982.6169,LC,876084.7982,LC
Cornus rugosa,Cornus rugosa,2018,Least Concern,NA,NA,NA,2412500,2412500,LC,134,Yes,2212234.611,408,EN,1219775.06,LC,1222579.426,LC,1221665.5,LC,2,30684.21202,8,CR,0,CR,0,CR,0,CR,132,2212234.611,404,EN,1219775.06,LC,1222579.426,LC,1221665.5,LC
Cornus sericea,Cornus sericea,2015,Least Concern,NA,NA,NA,NA,NA,NA,4389,Yes,47228454.75,10988,LC,29798741.39,LC,28833306.88,LC,16181583.62,LC,1961,29592397.81,5296,LC,12093692.02,LC,12609880.56,LC,5529953.953,LC,2428,46499091.55,6236,LC,29438311.56,LC,28436587.69,LC,15985410.78,LC
Coronilla valentina,Coronilla valentina,2010,Least Concern,NA,NA,NA,NA,NA,NA,1293,No,2238683.197,2036,NT,1228929.531,LC,1253017.539,LC,875169.6567,LC,475,2169841.523,700,VU,979045.4912,LC,1000712.179,LC,804710.3997,LC,818,2119222.616,1616,VU,1182758.024,LC,1199102.742,LC,827934.8842,LC
Corylus americana,Corylus americana,2013,Least Concern,NA,NA,NA,NA,NA,NA,17,Yes,3060098.476,60,EN,1380379.068,LC,1299954.783,LC,1299954.783,LC,4,2906792.34,16,EN,1222140.007,LC,1139407.027,LC,1139407.027,LC,13,3060098.476,48,EN,1201954.479,LC,1117874.374,LC,1117874.374,LC
Corylus cornuta,Corylus cornuta,2014,Least Concern,NA,NA,NA,NA,NA,NA,124,Yes,8959726.34,444,EN,6460371.269,LC,6436218.309,LC,6318532.115,LC,3,71036.81145,12,EN,24032.63632,NT,24452.23013,NT,24452.23013,NT,121,8959726.34,432,EN,6460371.269,LC,6436218.309,LC,6318532.115,LC
Corymbia citriodora,Corymbia citriodora,2019,Least Concern,1172,1172,VU,700206.1567,700206.1567,LC,1812,Yes,216177983.4,4392,LC,158581588.3,LC,122592975.1,LC,42400246.29,LC,1266,138812888.9,3268,LC,44851800.72,LC,46174582.23,LC,17308137.19,LC,546,207796062.2,1244,VU,154741221.7,LC,122071609,LC,42278818.9,LC
Coryphantha recurvata,Coryphantha recurvata,2010,Least Concern,NA,NA,NA,NA,NA,NA,5,Yes,8556.037552,16,EN,1106.470334,EN,1087.208114,EN,1087.208114,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8556.037552,16,EN,1106.470334,EN,1087.208114,EN,1087.208114,EN
Cotinus obovatus,Cotinus obovatus,2018,Least Concern,140,140,EN,1727995.4,1727995.4,LC,15,Yes,1894220.313,48,EN,1022761.703,LC,991335.7209,LC,991335.7209,LC,3,0,4,CR,0,CR,0,CR,0,CR,12,1894220.313,40,EN,1003116.536,LC,972536.8469,LC,972536.8469,LC
Coursetia caribaea,Coursetia caribaea,2018,Least Concern,3284,3284,LC,10718139.43,10718139.43,LC,33,Yes,10040602.84,76,EN,1953954.646,LC,2344567.948,LC,1663907.171,LC,26,164289.3865,48,EN,24570.31502,NT,24583.08335,NT,24583.08232,NT,7,10040602.84,24,EN,1474441.486,LC,1858919.478,LC,1278778.211,LC
Coursetia glandulosa,Coursetia glandulosa,2018,Least Concern,1000,1000,VU,3639149.8,3639149.8,LC,25,Yes,2683518.826,92,EN,725494.6629,LC,830389.5436,LC,724493.4832,LC,4,2431758.688,12,EN,151.8449068,EN,318.7989191,EN,318.7989191,EN,21,420013.2651,72,EN,179413.7199,LC,167831.6305,LC,132880.4816,LC
Crataegus berberifolia,Crataegus berberifolia,2018,Least Concern,200,200,EN,857324.9,857324.9,LC,4,Yes,47.78039894,16,EN,18.74762611,CR,18.79587668,CR,18.79587668,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,47.78039894,16,EN,18.74762611,CR,18.79587668,CR,18.79587668,CR
Crataegus chrysocarpa,Crataegus chrysocarpa,2018,Least Concern,812,812,VU,4924052,4924052,LC,14,Yes,5616557.73,44,EN,2655242.377,LC,2637805.553,LC,1332315.326,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,5616557.73,44,EN,2655242.377,LC,2637805.553,LC,1332315.326,LC
Crataegus coccinea,Crataegus coccinea,2019,Least Concern,NA,NA,NA,1420868,1420868,LC,50,Yes,11151323.57,168,EN,3096960.533,LC,3356098.413,LC,649830.9676,LC,34,432843.6621,116,EN,104328.9374,LC,107658.9697,LC,84514.37832,LC,16,11151323.57,60,EN,3057164.358,LC,3311914.129,LC,614366.9278,LC
Crataegus crus-galli,Crataegus crus-galli,2018,Least Concern,1528,1528,VU,6735805.85,6735805.85,LC,257,Yes,28643101.52,652,VU,12576415.39,LC,12664513.21,LC,4054007.439,LC,195,2858341.466,432,EN,1345150.696,LC,1329461.639,LC,1021935.896,LC,62,25416547.62,224,EN,11710300.38,LC,11551428.61,LC,3717130.636,LC
Crataegus douglasii,Crataegus douglasii,2018,Least Concern,2108,2108,NT,6286956.04,6286956.04,LC,69,Yes,27107716.48,168,EN,19275786.52,LC,19340759.04,LC,10630716.73,LC,9,5113.968015,28,EN,492.5914163,EN,489.5429357,EN,489.5429357,EN,60,26637929.62,140,EN,18992047.1,LC,19043144.33,LC,10475928.99,LC
Crataegus marshallii,Crataegus marshallii,2018,Least Concern,532,532,VU,4044031.63,4044031.63,LC,116,Yes,7444852.532,344,EN,3764245.319,LC,3542232.792,LC,3498826.686,LC,1,0,4,CR,0,CR,0,CR,0,CR,115,7444852.532,332,EN,3764030.057,LC,3542009.308,LC,3498672.707,LC
Crataegus mollis,Crataegus mollis,2018,Least Concern,848,848,VU,5540943.39,5540943.39,LC,481,Yes,30324300.05,1316,VU,19142595.45,LC,19489862.97,LC,6316461.853,LC,11,581865.0385,28,EN,175620.205,LC,171655.9767,LC,152536.0829,LC,470,30324300.05,1288,VU,19142595.45,LC,19489862.97,LC,6316461.853,LC
Crataegus phaenopyrum,Crataegus phaenopyrum,2018,Least Concern,284,284,EN,4495758.26,4495758.26,LC,10,Yes,132676808.1,32,EN,12399066.82,LC,28404877.16,LC,10426948.09,LC,4,113999234.8,8,CR,0,CR,0,CR,0,CR,6,122235140.6,24,EN,7781238.914,LC,18043536.2,LC,7510047.393,LC
Crataegus pruinosa,Crataegus pruinosa,2018,Least Concern,444,444,EN,1859919.07,1859919.07,LC,4,Yes,167831.7112,16,EN,72375.68238,LC,72193.84543,LC,72193.84543,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,167831.7112,16,EN,72375.68238,LC,72193.84543,LC,72193.84543,LC
Crataegus punctata,Crataegus punctata,2018,Least Concern,1400,1400,VU,7986437.01,7986437.01,LC,87,Yes,15719356.52,232,EN,4529159.611,LC,4269316.815,LC,1603123.995,LC,62,13228388.78,148,EN,3652148.559,LC,3366273.207,LC,981288.4594,LC,25,15238290.46,92,EN,3696748.745,LC,3340300.641,LC,1499044.56,LC
Crataegus rivularis,Crataegus rivularis,2018,Least Concern,376,376,EN,2010903.49,2010903.49,LC,8,Yes,61516.54525,28,EN,32155.7551,LC,32657.7493,LC,32657.7493,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,61516.54525,28,EN,32155.7551,LC,32657.7493,LC,32657.7493,LC
Crataegus spathulata,Crataegus spathulata,2018,Least Concern,256,256,EN,2296434.7,2296434.7,LC,13,Yes,507687.3639,48,EN,260483.9264,LC,259262.094,LC,259262.094,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,507687.3639,48,EN,260483.9264,LC,259262.094,LC,259262.094,LC
Crataegus submollis,Crataegus submollis,2018,Least Concern,268,268,EN,1999812.25,1999812.25,LC,61,Yes,14194270.99,172,EN,5225608.323,LC,5816164.842,LC,2635115.623,LC,29,2566580.889,96,EN,1162439.588,LC,1105436.369,LC,581993.365,LC,32,13629855.3,88,EN,5048828.35,LC,5481793.572,LC,2508722.537,LC
Crataegus succulenta,Crataegus succulenta,2018,Least Concern,704,704,VU,5486085.18,5486085.18,LC,14,Yes,9937976.401,32,EN,499468.7252,LC,669383.3109,LC,159881.1531,LC,2,1067.055934,8,CR,0,CR,0,CR,0,CR,12,9937976.401,24,EN,499468.7252,LC,669383.3109,LC,159881.1531,LC
Crataegus viridis,Crataegus viridis,2018,Least Concern,592,592,VU,3123852.99,3123852.99,LC,25,Yes,1130452.819,92,EN,681337.5027,LC,682272.9344,LC,668653.5554,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1130452.819,92,EN,681337.5027,LC,682272.9344,LC,668653.5554,LC
Crossopetalum rhacoma,Crossopetalum rhacoma,2020,Least Concern,732-3850,732,VU,3449778,3449778,LC,8,Yes,2201581.232,32,EN,893431.1794,LC,920677.2387,LC,205668.3297,LC,2,40398.57932,8,CR,0,CR,0,CR,0,CR,6,1552297.422,24,EN,589058.1041,LC,600419.0369,LC,173874.6182,LC
Crotalaria lanceolata,Crotalaria lanceolata,2018,Least Concern,NA,NA,NA,156956863,156956863,LC,152,Yes,105281853.9,576,VU,25628090.18,LC,42668979.54,LC,16553075.76,LC,108,96189460.69,420,EN,17993915.82,LC,30417485.58,LC,12535663.82,LC,44,104681518.1,172,EN,25522895.63,LC,41724897.69,LC,16159312.26,LC
Crotalaria micans,Crotalaria micans,2010,Least Concern,NA,NA,NA,NA,NA,NA,5,No,19673639.47,20,EN,2184901.989,LC,4451070.48,LC,1437067.178,LC,5,19673639.47,20,EN,2184901.989,LC,4451070.48,LC,1437067.178,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria pumila,Crotalaria pumila,2010,Least Concern,NA,NA,NA,NA,NA,NA,7,Yes,9773078.903,28,EN,4861457.822,LC,4991213.07,LC,1313668.254,LC,2,406740.2333,8,CR,0,CR,0,CR,0,CR,5,1582259.635,20,EN,774193.7793,LC,775425.986,LC,194990.7339,LC
Croton cortesianus,Croton cortesianus,2018,Least Concern,1692,1692,VU,3145460.28,3145460.28,LC,14,Yes,72461.43478,48,EN,42163.47919,LC,42338.53201,LC,42338.53201,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,72461.43478,48,EN,42163.47919,LC,42338.53201,LC,42338.53201,LC
Cucurbita digitata,Cucurbita digitata,2017,Least Concern,728,728,VU,447589,447589,LC,11,Yes,134191.895,44,EN,59840.01306,LC,60258.89166,LC,60258.89166,LC,5,524.9529218,20,EN,162.2646122,EN,163.1209771,EN,163.1209771,EN,6,92954.65285,24,EN,37481.74188,LC,37705.06794,LC,37705.06794,LC
Cucurbita foetidissima,Cucurbita foetidissima,2016,Least Concern,NA,NA,NA,4000000,4000000,LC,183,Yes,5309096.511,628,VU,2965420.099,LC,2876947.816,LC,2861482.459,LC,6,776545.3734,24,EN,348971.0895,LC,349795.8876,LC,349795.8876,LC,177,5309096.511,600,VU,2965420.099,LC,2876947.816,LC,2861482.459,LC
Cucurbita palmata,Cucurbita palmata,2017,Data Deficient,916,916,VU,739969,739969,LC,51,Yes,228689.8682,172,EN,136197.9756,LC,136083.1647,LC,135941.4797,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,228689.8682,172,EN,136197.9756,LC,136083.1647,LC,135941.4797,LC
Cucurbita pepo,Cucurbita pepo,2017,Least Concern,164,164,EN,849029,849029,LC,1720,Yes,329251280.4,3152,LC,163050073.9,LC,164403915.2,LC,73614340.21,LC,754,254784733.8,1504,VU,97627074.55,LC,102293882,LC,44179528.71,LC,966,327166083.5,1904,VU,162360224.4,LC,162885176.9,LC,72895703.91,LC
Cupressus arizonica,Cupressus arizonica,2011,Least Concern,NA,NA,NA,NA,NA,NA,124,Yes,267344167.1,420,EN,91281622.1,LC,96709467.66,LC,37174984.22,LC,39,256390913.1,132,EN,81726291.22,LC,86196212.24,LC,32772053.02,LC,85,256405877,284,EN,80732930.35,LC,81706455.8,LC,32076676.83,LC
Cupressus guadalupensis,Cupressus guadalupensis,2011,Endangered,42,42,EN,NA,NA,NA,1416,No,8.838474476,20,EN,4.773302272,CR,4.789825367,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1416,8.838474476,20,EN,4.773302272,CR,4.789825367,CR,NA,NA
Cupressus macrocarpa,Cupressus macrocarpa,2011,Vulnerable,13,13,EN,91,91,CR,831,Yes,273757461,2504,NT,142903991.9,LC,102943971.2,LC,40403635.46,LC,403,269080178.6,1276,VU,137183331.9,LC,101457132.1,LC,39457400.33,LC,428,273729362,1300,VU,142640857.1,LC,102881022.2,LC,40383678.11,LC
Cupressus sargentii,Cupressus sargentii,2011,Vulnerable,704,704,VU,NA,NA,NA,4,Yes,51046.37657,16,EN,508.1876459,EN,558.241292,EN,558.241292,EN,1,0,4,CR,0,CR,0,CR,0,CR,3,13.7972542,12,EN,4.360743503,CR,4.369926083,CR,4.369926083,CR
Cuscuta gronovii,Cuscuta gronovii,2015,Least Concern,NA,NA,NA,NA,NA,NA,218,Yes,20903044.28,464,EN,7560534.434,LC,7464142.379,LC,2787646.904,LC,107,246157.053,280,EN,113729.386,LC,113437.0769,LC,113437.0769,LC,111,20489738.03,188,EN,7376634.008,LC,7277151.358,LC,2621421.319,LC
Iva xanthifolia,Cyclachaena xanthiifolia,2015,Least Concern,NA,NA,NA,NA,NA,NA,184,No,1790674.517,376,EN,1303562.934,LC,1295742.159,LC,1161912.131,LC,121,1590673.497,248,EN,1026484.886,LC,1015113.513,LC,886180.3368,LC,63,932514.7566,144,EN,544240.7637,LC,548766.2972,LC,548728.6543,LC
Cyclosorus interruptus,Cyclosorus interruptus,2018,Least Concern,NA,NA,NA,NA,NA,NA,412,Yes,266538765,1208,VU,190838566.9,LC,195360714.7,LC,68418534.9,LC,304,266475405.2,1004,VU,177034823.3,LC,171817097.3,LC,57169797.85,LC,108,278575615.2,232,EN,185087095.7,LC,112668224.8,LC,40409874.44,LC
Cylindropuntia acanthocarpa,Cylindropuntia acanthocarpa,2010,Least Concern,NA,NA,NA,301000,301000,LC,24,Yes,202306.9939,76,EN,108234.6713,LC,108485.6656,LC,108485.6656,LC,2,2455.485586,8,CR,0,CR,0,CR,0,CR,22,193333.315,68,EN,101638.5277,LC,101975.7602,LC,101975.7602,LC
Cylindropuntia arbuscula,Cylindropuntia arbuscula,2010,Least Concern,NA,NA,NA,100000,100000,LC,4,Yes,10722.2786,16,EN,4082.718507,EN,3944.570659,EN,3944.570659,EN,2,2348.507515,8,CR,0,CR,0,CR,0,CR,2,2.339529992,8,CR,0,CR,0,CR,0,CR
Cylindropuntia bigelovii,Cylindropuntia bigelovii,2010,Least Concern,NA,NA,NA,200000-300000,200000,LC,43,Yes,298153.6163,140,EN,175076.8628,LC,176079.685,LC,176079.685,LC,11,117435.5943,44,EN,86817.53374,LC,87081.45212,LC,87081.45212,LC,32,293350.6282,104,EN,148667.5519,LC,149768.4772,LC,149768.4772,LC
Cylindropuntia echinocarpa,Cylindropuntia echinocarpa,2010,Least Concern,NA,NA,NA,260000,260000,LC,13,Yes,290639.7621,48,EN,125762.4752,LC,125351.5785,LC,125351.5785,LC,3,34691.18496,12,EN,17274.41691,VU,17275.95938,VU,17275.95938,VU,10,193661.7786,36,EN,88276.94197,LC,86076.34514,LC,86076.34514,LC
Cylindropuntia fulgida,Cylindropuntia fulgida,2010,Least Concern,NA,NA,NA,175000,175000,LC,46,Yes,78585197.5,156,EN,11380915.19,LC,23231764.69,LC,8605047.761,LC,8,78367584.6,32,EN,8702992.598,LC,17302973.4,LC,6750491.981,LC,38,78073130.61,120,EN,9429979.39,LC,19114222.95,LC,7033039.885,LC
Cylindropuntia imbricata,Cylindropuntia imbricata,2009,Least Concern,NA,NA,NA,NA,NA,NA,106,Yes,222039692.6,392,EN,152675630.5,LC,116927065.1,LC,42503759.95,LC,21,316634480.2,80,EN,156939654.3,LC,73231877.98,LC,30419037.62,LC,85,219918723.2,312,EN,152090634.7,LC,116753771.2,LC,42436020.33,LC
Cylindropuntia kleiniae,Cylindropuntia kleiniae,2009,Least Concern,NA,NA,NA,132000,132000,LC,5,Yes,294179.7489,20,EN,133272.134,LC,132055.516,LC,132055.516,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,294179.7489,20,EN,133272.134,LC,132055.516,LC,132055.516,LC
Cylindropuntia leptocaulis,Cylindropuntia leptocaulis,2009,Least Concern,NA,NA,NA,NA,NA,NA,31,Yes,26399026.92,108,EN,10526938.13,LC,9882784.846,LC,2697480.111,LC,7,1395920.074,24,EN,659872.301,LC,634554.7639,LC,634554.7639,LC,24,26023086.65,84,EN,10372914.78,LC,9761702.004,LC,2576397.269,LC
Cylindropuntia prolifera,Cylindropuntia prolifera,2010,Least Concern,NA,NA,NA,50000,50000,LC,12,Yes,66584946.53,48,EN,3138392.996,LC,8153124.879,LC,2866913.508,LC,1,0,4,CR,0,CR,0,CR,NA,NA,11,66584946.53,44,EN,3138392.996,LC,8153124.879,LC,2866913.508,LC
