query_name,recordType,elementGlobalId,scientificName,primaryCommonName,classificationStatus,roundedGRank,gRank
Quercus hypoleucoides,SPECIES,159417,Quercus hypoleucoides,Silver-leaf Oak,Standard,G5,G5
Quercus ilicifolia,SPECIES,141826,Quercus ilicifolia,Scrub Oak,Standard,G5,G5
Quercus imbricaria,SPECIES,129997,Quercus imbricaria,Shingle Oak,Standard,G5,G5
Quercus incana,SPECIES,132247,Quercus incana,Blue Jack Oak,Standard,G5,G5
Quercus inopina,SPECIES,128742,Quercus inopina,Myrtle Oak,Standard,G4,G4
Quercus kelloggii,SPECIES,157648,Quercus kelloggii,California Black Oak,Standard,G5,G5
Quercus laceyi,SPECIES,145668,Quercus laceyi,Lacey Oak,Standard,G4,G4
Quercus laevis,SPECIES,143757,Quercus laevis,Turkey Oak,Standard,G5,G5
Quercus laurifolia,SPECIES,129810,Quercus laurifolia,Laurel-leaf Oak,Standard,G5,G5
Quercus lobata,SPECIES,129335,Quercus lobata,California White Oak,Standard,G4,G4
Quercus lyrata,SPECIES,128104,Quercus lyrata,Overcup Oak,Standard,G5,G5
Quercus macrocarpa,SPECIES,158441,Quercus macrocarpa,Bur Oak,Standard,G5,G5
Quercus marilandica,SPECIES,133493,Quercus marilandica,Blackjack Oak,Standard,G5,G5
Quercus michauxii,SPECIES,154986,Quercus michauxii,Swamp Chestnut Oak,Standard,G5,G5
Quercus muehlenbergii,SPECIES,131052,Quercus muehlenbergii,Chinquapin Oak,Standard,G5,G5
Quercus myrtifolia,SPECIES,151806,Quercus myrtifolia,Myrtle-leaf Oak,Standard,G5,G5
Quercus nigra,SPECIES,147875,Quercus nigra,Water Oak,Standard,G5,G5
Quercus oblongifolia,SPECIES,142790,Quercus oblongifolia,Mexican Blue Oak,Standard,G5,G5
Quercus pacifica,SPECIES,152116,Quercus pacifica,Pacific Oak,Standard,G4,G4
Quercus pagoda,SPECIES,128350,Quercus pagoda,Cherrybark Oak,Standard,G5,G5
Quercus palmeri,SPECIES,131143,Quercus palmeri,Dunn's Oak,Standard,G4,G4
Quercus palustris,SPECIES,159415,Quercus palustris,Pin Oak,Standard,G5,G5
Quercus parvula,SPECIES,141827,Quercus parvula,Santa Cruz Island Oak,Standard,G4,G4
Quercus phellos,SPECIES,155566,Quercus phellos,Willow Oak,Standard,G5,G5
Quercus polymorpha,SPECIES,140206,Quercus polymorpha,Netleaf White Oak,Standard,G5,G5
Quercus prinoides,SPECIES,131048,Quercus prinoides,Dwarf Chinquapin Oak,Standard,G5,G5
Quercus rubra,SPECIES,155953,Quercus rubra,Northern Red Oak,Standard,G5,G5
Quercus rugosa,SPECIES,132832,Quercus rugosa,Netleaf Oak,Standard,G4,G4G5
Quercus sadleriana,SPECIES,133035,Quercus sadleriana,Sadler's Oak,Standard,GNR,GNR
Quercus shumardii,SPECIES,158440,Quercus shumardii,Shumard Oak,Standard,G5,G5
Quercus sinuata,SPECIES,154210,Quercus sinuata,Durand Oak,Standard,G4,G4G5
Quercus stellata,SPECIES,131142,Quercus stellata,Post Oak,Standard,G5,G5
Quercus tomentella,SPECIES,145747,Quercus tomentella,Island Oak,Standard,G3,G3
Quercus turbinella,SPECIES,144542,Quercus turbinella,Shrub Live Oak,Standard,G5,G5
Quercus vacciniifolia,SPECIES,155711,Quercus vacciniifolia,Huckleberry Oak,Standard,G4,G4G5
Quercus velutina,SPECIES,133488,Quercus velutina,Black Oak,Standard,G5,G5
Quercus viminea,SPECIES,784916,Quercus viminea,Sonoran Oak,Standard,G4,G4G5
Quercus virginiana,SPECIES,147876,Quercus virginiana,Live Oak,Standard,G5,G5
Quercus wislizeni,SPECIES,140280,Quercus wislizeni,Interior Live Oak,Standard,G5,G5
Randia aculeata,SPECIES,128706,Randia aculeata,White Indigoberry,Standard,G5,G5
Ranunculus aquatilis,SPECIES,152207,Ranunculus aquatilis,White Water Buttercup,Standard,G5,G5
Ranunculus cymbalaria,SPECIES,157689,Ranunculus cymbalaria,Seaside Crowfoot,Standard,G5,G5
Ranunculus flabellaris,SPECIES,157274,Ranunculus flabellaris,Yellow Water-crowfoot,Standard,G5,G5
Ranunculus flammula,SPECIES,140931,Ranunculus flammula,Lesser Spearwort,Standard,G5,G5
Ranunculus gmelinii,SPECIES,151899,Ranunculus gmelinii,Small Yellow Water-crowfoot,Standard,G5,G5
Ranunculus hederaceus,SPECIES,146813,Ranunculus hederaceus,Long-stalked Crowfoot,Standard,G5,G5
Ranunculus hispidus,SPECIES,152208,Ranunculus hispidus,Hispid Buttercup,Standard,G5,G5
Ranunculus hyperboreus,SPECIES,137998,Ranunculus hyperboreus,Arctic Buttercup,Standard,G5,G5
Ranunculus macounii,SPECIES,160589,Ranunculus macounii,Macoun's Buttercup,Standard,G5,G5
Ranunculus sceleratus,SPECIES,153299,Ranunculus sceleratus,Cursed Crowfoot,Standard,G5,G5
Ranunculus trichophyllus,SPECIES,145147,Ranunculus trichophyllus,Northeastern White Water Crowfoot,Standard,G5,G5
Rhexia virginica,SPECIES,145014,Rhexia virginica,Virginia Meadowbeauty,Standard,G5,G5
Rhipsalis baccifera,SPECIES,134604,Rhipsalis baccifera,Mistletoe Cactus,Standard,G4,G4
Rhizophora mangle,SPECIES,137428,Rhizophora mangle,Red Mangrove,Standard,G5,G5
Rhododendron catawbiense,SPECIES,156823,Rhododendron catawbiense,Catawba Rhododendron,Standard,G5,G5
Rhododendron macrophyllum,SPECIES,143701,Rhododendron macrophyllum,Pacific Rhododendron,Standard,G5,G5
Rhododendron maximum,SPECIES,155621,Rhododendron maximum,Great Laurel,Standard,G5,G5
Rhus glabra,SPECIES,142191,Rhus glabra,Smooth Sumac,Standard,G5,G5
Rhus integrifolia,SPECIES,159123,Rhus integrifolia,Lemonade Sumac,Standard,G4,G4
Rhus microphylla,SPECIES,143730,Rhus microphylla,Littleleaf Sumac,Standard,G4,G4G5
Rhus ovata,SPECIES,141979,Rhus ovata,Sugar Sumac,Standard,G4,G4
Rhus typhina,SPECIES,135152,Rhus typhina,Staghorn Sumac,Standard,G5,G5
Rhus virens,SPECIES,141807,Rhus virens,Poison Sumac,Standard,G5,G5
Rhynchosia minima,SPECIES,156591,Rhynchosia minima,Least Snoutbean,Standard,GNR,GNR
Rhynchospora alba,SPECIES,160148,Rhynchospora alba,White Beakrush,Standard,G5,G5
Rhynchospora capitellata,SPECIES,152061,Rhynchospora capitellata,Brownish Beakrush,Standard,G5,G5
Rhynchospora fusca,SPECIES,150333,Rhynchospora fusca,Brown Beakrush,Standard,G4,G4G5
Rhynchospora rugosa,SPECIES,134726,Rhynchospora rugosa,Claybank Beaksedge,Standard,G5,G5
Ribes glandulosum,SPECIES,147967,Ribes glandulosum,Skunk Currant,Standard,G5,G5
Robinia hispida,SPECIES,149692,Robinia hispida,Bristly Locust,Standard,G4,G4
Robinia neomexicana,SPECIES,155582,Robinia neomexicana,New Mexico Locust,Standard,G4,G4
Rorippa austriaca,SPECIES,146889,Rorippa austriaca,Austrian Yellowcress,Standard,GNR,GNR
Rorippa islandica,SPECIES,131437,Rorippa islandica,Northern Marsh Yellowcress,Standard,G5,G5?
Rorippa microphylla,SPECIES,132321,Rorippa microphylla,One-row Watercress,Standard,GNR,GNR
Rorippa sylvestris,SPECIES,153174,Rorippa sylvestris,Creeping Yellowcress,Standard,G5,G5
Rosa acicularis,SPECIES,153144,Rosa acicularis,Prickly Rose,Standard,G5,G5
Rosa palustris,SPECIES,131618,Rosa palustris,Swamp Rose,Standard,G5,G5
Rotala indica,SPECIES,146280,Rotala indica,Indian Toothcup,Standard,GNR,GNR
Rotala ramosior,SPECIES,147762,Rotala ramosior,Toothcup,Standard,G5,G5
Rubus arcticus,SPECIES,155826,Rubus arcticus,Nagoonberry,Standard,G5,G5
Rubus chamaemorus,SPECIES,144577,Rubus chamaemorus,Cloudberry,Standard,G5,G5
Rubus pedatus,SPECIES,130364,Rubus pedatus,Five-leaf Dwarf Bramble,Standard,G5,G5
Rubus pubescens,SPECIES,128843,Rubus pubescens,Dwarf Red Raspberry,Standard,G5,G5
Ruppia maritima,SPECIES,149214,Ruppia maritima,Ditch-grass,Standard,G5,G5
Sabal mexicana,SPECIES,159246,Sabal mexicana,Texas Palmetto,Standard,G5,G5
Sabal minor,SPECIES,138270,Sabal minor,Dwarf Palmetto,Standard,G5,G5
Sabatia kennedyana,SPECIES,153435,Sabatia kennedyana,Plymouth Rose-gentian,Standard,G3,G3G4
Sagittaria cuneata,SPECIES,132174,Sagittaria cuneata,Wapatum Arrowhead,Standard,G5,G5
Sagittaria graminea,SPECIES,128871,Sagittaria graminea,Grassleaf Arrowhead,Standard,G5,G5
Sagittaria latifolia,SPECIES,146682,Sagittaria latifolia,Broadleaf Arrowhead,Standard,G5,G5
Sagittaria rigida,SPECIES,149084,Sagittaria rigida,Sessile-fruit Arrowhead,Standard,G5,G5
Salicornia rubra,SPECIES,952511,Salicornia rubra,Red Glasswort,Standard,G5,G5
Salix alaxensis,SPECIES,147724,Salix alaxensis,Alaska Willow,Standard,G5,G5
Salix amygdaloides,SPECIES,152536,Salix amygdaloides,Peachleaf Willow,Standard,G5,G5
Salix barclayi,SPECIES,158317,Salix barclayi,Barclay's Willow,Standard,G5,G5
Salix bebbiana,SPECIES,142015,Salix bebbiana,Bebb's Willow,Standard,G5,G5
Salix bonplandiana,SPECIES,135180,Salix bonplandiana,Red Willow,Standard,G4,G4
Salix candida,SPECIES,140413,Salix candida,Hoary Willow,Standard,G5,G5
Salix caroliniana,SPECIES,139202,Salix caroliniana,Carolina Willow,Standard,G5,G5
Salix commutata,SPECIES,129482,Salix commutata,Undergreen Willow,Standard,G5,G5
Salix discolor,SPECIES,144049,Salix discolor,Pussy Willow,Standard,G5,G5
Salix eriocephala,SPECIES,129982,Salix eriocephala,Heartleaf Willow,Standard,G5,G5
Salix exigua,SPECIES,884357,Salix exigua,Narrowleaf Willow,Standard,G5,G5
Salix geyeriana,SPECIES,139902,Salix geyeriana,Geyer's Willow,Standard,G5,G5
Salix glauca,SPECIES,135082,Salix glauca,Gray Willow,Standard,G5,G5
Salix gooddingii,SPECIES,160019,Salix gooddingii,Goodding's Willow,Standard,G5,G5
Salix hookeriana,SPECIES,133841,Salix hookeriana,Hooker's Willow,Standard,G5,G5
Salix interior,SPECIES,884420,Salix interior,Narrowleaf Willow,Standard,G5,G5
Salix lasiolepis,SPECIES,152322,Salix lasiolepis,Arroyo Willow,Standard,G5,G5
Salix lucida,SPECIES,145798,Salix lucida,Shining Willow,Standard,G5,G5
Salix myricoides,SPECIES,145483,Salix myricoides,Blueleaf Willow,Standard,G4,G4
Salix myrtillifolia,SPECIES,137940,Salix myrtillifolia,Low Blueberry Willow,Standard,G5,G5
Salix nigra,SPECIES,153412,Salix nigra,Black Willow,Standard,G5,G5
Salix pedicellaris,SPECIES,135178,Salix pedicellaris,Bog Willow,Standard,G5,G5
Salix pellita,SPECIES,154751,Salix pellita,Satiny Willow,Standard,G5,G5
Salix petiolaris,SPECIES,140637,Salix petiolaris,Meadow Willow,Standard,G5,G5
Salix planifolia,SPECIES,129484,Salix planifolia,Tealeaf Willow,Standard,G5,G5
Salix pyrifolia,SPECIES,138979,Salix pyrifolia,Balsam Willow,Standard,G5,G5
Salix richardsonii,SPECIES,134892,Salix richardsonii,Lanate Willow,Standard,G5,G5
Salix scouleriana,SPECIES,160146,Salix scouleriana,Scouler's Willow,Standard,G5,G5
Salix sericea,SPECIES,130815,Salix sericea,Silky Willow,Standard,G5,G5
Salix serissima,SPECIES,140522,Salix serissima,Autumn Willow,Standard,G5,G5
Salix sitchensis,SPECIES,156101,Salix sitchensis,Sitka Willow,Standard,G5,G5
Salix taxifolia,SPECIES,153888,Salix taxifolia,Yewleaf Willow,Standard,G5,G5
Sambucus racemosa,SPECIES,140704,Sambucus racemosa,Red Elderberry,Standard,G5,G5
Samolus valerandi,SPECIES,131427,Samolus valerandi,Valerand's Brookweed,Standard,G5,G5
Sanguisorba officinalis,SPECIES,128406,Sanguisorba officinalis,Great Burnet,Standard,G5,G5?
Sapindus saponaria,SPECIES,130682,Sapindus saponaria,Wingleaf Soapberry,Standard,G5,G5
Sarcobatus vermiculatus,SPECIES,155765,Sarcobatus vermiculatus,Greasewood,Standard,G5,G5
Sarracenia alata,SPECIES,135627,Sarracenia alata,Yellow Trumpets,Standard,G4,G4
Sarracenia flava,SPECIES,160353,Sarracenia flava,Yellow Pitcherplant,Standard,G5,G5?
Sarracenia minor,SPECIES,142149,Sarracenia minor,Hooded Pitcherplant,Standard,G4,G4
Sassafras albidum,SPECIES,130071,Sassafras albidum,Sassafras,Standard,G5,G5
Saururus cernuus,SPECIES,129260,Saururus cernuus,Lizard's-tail,Standard,G5,G5
Saxifraga hirculus,SPECIES,129802,Saxifraga hirculus,Yellow Marsh Saxifrage,Standard,G5,G5
Scheuchzeria palustris,SPECIES,157508,Scheuchzeria palustris,Marsh Scheuchzeria,Standard,G5,G5
Schizaea pusilla,SPECIES,148574,Schizaea pusilla,Curly-grass Fern,Standard,G3,G3G4
Schoenoplectiella mucronata,SPECIES,141150,Schoenoplectiella mucronata,Bog Bulrush,Standard,GNR,GNR
Schoenoplectiella purshiana,SPECIES,129061,Schoenoplectiella purshiana,Weakstalk Bulrush,Standard,G4,G4G5
Schoenoplectiella smithii,SPECIES,159404,Schoenoplectiella smithii,Smith's Bulrush,Standard,G5,G5?
Schoenoplectus acutus,SPECIES,768309,Schoenoplectus acutus,Hardstem Bulrush,Standard,G5,G5
Schoenoplectus americanus,SPECIES,160106,Schoenoplectus americanus,Three-square Bulrush,Standard,G5,G5
Schoenoplectus tabernaemontani,SPECIES,148187,Schoenoplectus tabernaemontani,Softstem Bulrush,Standard,G5,G5
Schoenoplectus triqueter,SPECIES,137827,Schoenoplectus triqueter,Streambank Clubrush,Standard,GNR,GNR
Schoenus nigricans,SPECIES,161025,Schoenus nigricans,Blacksedge,Standard,G4,G4
Schoepfia schreberi,SPECIES,128073,Schoepfia schreberi,Gulf Graytwig,Standard,G5,G5
Scirpus atrocinctus,SPECIES,142153,Scirpus atrocinctus,Black-girdle Bulrush,Standard,G5,G5
Scirpus atrovirens,SPECIES,141428,Scirpus atrovirens,Woolgrass Bulrush,Standard,G5,G5
Scirpus cyperinus,SPECIES,144209,Scirpus cyperinus,Cottongrass Bulrush,Standard,G5,G5
Scirpus hattorianus,SPECIES,139652,Scirpus hattorianus,Mosquito Bulrush,Standard,G5,G5
Scirpus longii,SPECIES,142877,Scirpus longii,Long's Bulrush,Standard,G3,G3
Scirpus microcarpus,SPECIES,160492,Scirpus microcarpus,Small-fruit Bulrush,Standard,G5,G5
Scirpus pendulus,SPECIES,150647,Scirpus pendulus,Pendulous Bulrush,Standard,G5,G5
Scleria lithosperma,SPECIES,159790,Scleria lithosperma,Florida Keys Nutrush,Standard,G5,G5
Scleria verticillata,SPECIES,139233,Scleria verticillata,Low Nutrush,Standard,G5,G5
Sclerocactus papyracanthus,SPECIES,159618,Sclerocactus papyracanthus,Grama Grass Cactus,Standard,G4,G4
Sclerocactus parviflorus,SPECIES,958466,Sclerocactus parviflorus,Small-flower Fishhook Cactus,Standard,G4,G4
Sclerocactus polyancistrus,SPECIES,155505,Sclerocactus polyancistrus,Mohave Fishhook Cactus,Standard,G3,G3
Sclerocactus spinosior,SPECIES,131675,Sclerocactus spinosior,Desert Valley Fishhook Cactus,Standard,G2,G1G3
Sclerocactus uncinatus,SPECIES,156090,Sclerocactus uncinatus,Chihuahuan Fishhook Cactus,Standard,G4,G4
Scolochloa festucacea,SPECIES,147731,Scolochloa festucacea,Sprangletop,Standard,G5,G5
Scrophularia umbrosa,SPECIES,139275,Scrophularia umbrosa,Water Figwort,Standard,GNR,GNR
Scutellaria galericulata,SPECIES,135492,Scutellaria galericulata,Hooded Skullcap,Standard,G5,G5
Scutellaria lateriflora,SPECIES,137419,Scutellaria lateriflora,Mad-dog Skullcap,Standard,G5,G5
Selenicereus grandiflorus,SPECIES,157389,Selenicereus grandiflorus,Queen-of-the-Night,Standard,G5,G5
Senecio hydrophilus,SPECIES,156936,Senecio hydrophilus,Great Swamp Ragwort,Standard,G5,G5
Senna obtusifolia,SPECIES,147336,Senna obtusifolia,Blunt-leaf Senna,Standard,G5,G5
Senna pendula,SPECIES,145859,Senna pendula,Valamuerto,Standard,GNR,GNR
Sequoia sempervirens,SPECIES,140518,Sequoia sempervirens,Redwood,Standard,G4,G4
Sequoiadendron giganteum,SPECIES,130747,Sequoiadendron giganteum,Giant Sequoia,Standard,G3,G3G4
Sesbania drummondii,SPECIES,130467,Sesbania drummondii,Drummond's Sesbania,Standard,G4,G4G5
Setaria parviflora,SPECIES,131562,Setaria parviflora,Bristly Foxtail,Standard,G5,G5
Shepherdia argentea,SPECIES,143084,Shepherdia argentea,Silver Buffaloberry,Standard,G5,G5
Sidalcea hendersonii,SPECIES,142638,Sidalcea hendersonii,Henderson's Checker-mallow,Standard,G3,G3
Sideroxylon celastrinum,SPECIES,132074,Sideroxylon celastrinum,Saffron-plum,Standard,G5,G5
Sideroxylon lycioides,SPECIES,158895,Sideroxylon lycioides,Buckthorn Bully,Standard,G5,G5
Simarouba glauca,SPECIES,147610,Simarouba glauca,Paradise-tree,Standard,G5,G5
Sium suave,SPECIES,154306,Sium suave,Hemlock Water-parsnip,Standard,G5,G5
Solanum bahamense,SPECIES,145501,Solanum bahamense,Bahama Horse-nettle,Standard,G5,G5
Solanum jamesii,SPECIES,139869,Solanum jamesii,Wild Potato,Standard,G4,G3G5
Solidago patula,SPECIES,159227,Solidago patula,Roundleaf Goldenrod,Standard,G5,G5
Solidago uliginosa,SPECIES,142749,Solidago uliginosa,Bog Goldenrod,Standard,G5,G5
Sonchus palustris,SPECIES,158747,Sonchus palustris,Marsh Sowthistle,Standard,GNR,GNR
Sophora affinis,SPECIES,141601,Sophora affinis,Eve's Necklace,Standard,G4,G4
Sorbus americana,SPECIES,158784,Sorbus americana,American Mountain-ash,Standard,G5,G5
Sorbus decora,SPECIES,961540,Sorbus decora,Northern Mountain-ash,Standard,G5,G5
Sorbus scopulina,SPECIES,961549,Sorbus scopulina,Greene's Mountain-ash,Standard,G5,G5
Sorbus sitchensis,SPECIES,132870,Sorbus sitchensis,Sitka Mountain-ash,Standard,G5,G5
Sparganium americanum,SPECIES,132792,Sparganium americanum,American Bur-reed,Standard,G5,G5
Sparganium angustifolium,SPECIES,156857,Sparganium angustifolium,Narrowleaf Bur-reed,Standard,G5,G5
Sparganium emersum,SPECIES,155067,Sparganium emersum,Green-fruit Bur-reed,Provisional,G5,G5
Sparganium erectum,SPECIES,159818,Sparganium erectum,Simple-stem Bur-reed,Standard,G5,G5
Sparganium eurycarpum,SPECIES,140735,Sparganium eurycarpum,Large Bur-reed,Standard,G5,G5
Sparganium fluctuans,SPECIES,128119,Sparganium fluctuans,Floating Bur-reed,Standard,G5,G5
Sparganium glomeratum,SPECIES,128205,Sparganium glomeratum,Northern Bur-reed,Standard,G4,G4?
Sparganium hyperboreum,SPECIES,136031,Sparganium hyperboreum,Northern Bur-reed,Standard,G5,G5
Sparganium natans,SPECIES,147182,Sparganium natans,Small Bur-reed,Standard,G5,G5
Spartina alterniflora,SPECIES,150874,Spartina alterniflora,Saltwater Cordgrass,Standard,G5,G5
Spartina gracilis,SPECIES,137633,Spartina gracilis,Alkali Cordgrass,Standard,G5,G5
Spartina pectinata,SPECIES,144026,Spartina pectinata,Fresh Water Cordgrass,Standard,G5,G5
Spathodea campanulata,SPECIES,137729,Spathodea campanulata,African Tuliptree,Standard,GNR,GNR
Sphaerophysa salsula,SPECIES,129365,Sphaerophysa salsula,Bladder-vetch,Standard,GNR,GNR
Sphenoclea zeylanica,SPECIES,137168,Sphenoclea zeylanica,Chicken-spike,Standard,G4,G4G5
Spiranthes casei,SPECIES,150066,Spiranthes casei,Case's Ladies'-tresses,Standard,G4,G4
Spiranthes romanzoffiana,SPECIES,136951,Spiranthes romanzoffiana,Hooded Ladies'-tresses,Standard,G5,G5
Spiranthes torta,SPECIES,145760,Spiranthes torta,Southern Ladies'-tresses,Standard,G5,G5
Stachys palustris,SPECIES,136456,Stachys palustris,Marsh Hedge-nettle,Standard,G5,G5
Staphylea trifolia,SPECIES,128869,Staphylea trifolia,American Bladdernut,Standard,G5,G5
Stellaria calycantha,SPECIES,151091,Stellaria calycantha,Northern Stitchwort,Standard,G5,G5
Stellaria humifusa,SPECIES,148751,Stellaria humifusa,Creeping Sandwort,Standard,G5,G5
Stenocereus thurberi,SPECIES,128983,Stenocereus thurberi,Organ Pipe Cactus,Standard,G5,G5
Stewartia malacodendron,SPECIES,156280,Stewartia malacodendron,Silky Camellia,Standard,G4,G4
Stewartia ovata,SPECIES,148162,Stewartia ovata,Mountain Camellia,Standard,G4,G4
Stictocardia tiliifolia,SPECIES,155982,Stictocardia tiliifolia,Spotted-heart,Standard,G4,G4G5
Strumpfia maritima,SPECIES,134784,Strumpfia maritima,Pride-of-Big-Pine,Standard,G4,G4
Stuckenia filiformis,SPECIES,161467,Stuckenia filiformis,Slender Pondweed,Standard,G5,G5
Stuckenia pectinata,SPECIES,132095,Stuckenia pectinata,Sago Pondweed,Standard,G5,G5
Stuckenia vaginata,SPECIES,141847,Stuckenia vaginata,Sheathed Pondweed,Standard,G5,G5
Styrax americanus,SPECIES,153648,Styrax americanus,American Snowbell,Standard,G5,G5
Subularia aquatica,SPECIES,158951,Subularia aquatica,Water Awlwort,Standard,G5,G5
Suriana maritima,SPECIES,143517,Suriana maritima,Bay-cedar,Standard,G4,G4G5
Swietenia mahagoni,SPECIES,150600,Swietenia mahagoni,West Indian Mahogany,Standard,G3,G3G4
Symphyotrichum boreale,SPECIES,145708,Symphyotrichum boreale,Boreal Aster,Standard,G5,G5
Symphyotrichum ciliatum,SPECIES,145862,Symphyotrichum ciliatum,Alkali American-aster,Standard,G5,G5
Symphyotrichum lanceolatum,SPECIES,158579,Symphyotrichum lanceolatum,Panicled Aster,Standard,G5,G5
Symphyotrichum nahanniense,SPECIES,800170,Symphyotrichum nahanniense,Nahanni Aster,Provisional,G3,G3
Symphyotrichum praealtum,SPECIES,152458,Symphyotrichum praealtum,Willow Aster,Standard,G5,G5
Symphyotrichum puniceum,SPECIES,150750,Symphyotrichum puniceum,Swamp Aster,Standard,G5,G5
Symplocarpus foetidus,SPECIES,145721,Symplocarpus foetidus,Skunk-cabbage,Standard,G5,G5
Symplocos tinctoria,SPECIES,130925,Symplocos tinctoria,Horsesugar,Standard,G5,G5
Syringodium filiforme,SPECIES,147555,Syringodium filiforme,Manatee-grass,Standard,G4,G4
Tabebuia heterophylla,SPECIES,160178,Tabebuia heterophylla,Roble-Prieto,Standard,G5,G5
Tamarix ramosissima,SPECIES,133641,Tamarix ramosissima,Salt-cedar,Standard,GNR,GNR
Taxodium distichum,SPECIES,139459,Taxodium distichum,Bald Cypress,Standard,G5,G5
Taxodium mucronatum,SPECIES,154509,Taxodium mucronatum,Montezuma Bald-cypress,Standard,G4,G4
Taxus brevifolia,SPECIES,149952,Taxus brevifolia,Pacific Yew,Standard,G5,G5
Taxus canadensis,SPECIES,156448,Taxus canadensis,Canadian Yew,Standard,G5,G5
Tecoma stans,SPECIES,153855,Tecoma stans,Yellow Trumpetbush,Standard,G5,G5
Thalassia testudinum,SPECIES,151379,Thalassia testudinum,Turtle-grass,Standard,G4,G4G5
Thelocactus bicolor,SPECIES,148978,Thelocactus bicolor,Straw Thelocactus,Standard,G4,G4
Thelocactus setispinus,SPECIES,144719,Thelocactus setispinus,Miniature Barrel Cactus,Standard,G4,G4
Thelypteris palustris,SPECIES,128026,Thelypteris palustris,Eastern Marsh Fern,Standard,G5,G5
Thermopsis montana,SPECIES,134613,Thermopsis montana,Mountain Golden-banner,Standard,G4,G4G5
Thespesia populnea,SPECIES,142619,Thespesia populnea,Portia-tree,Standard,G5,G5
Thuja occidentalis,SPECIES,145680,Thuja occidentalis,Northern White-cedar,Standard,G5,G5
Thuja plicata,SPECIES,153792,Thuja plicata,Western Red-cedar,Standard,G5,G5
Tilia americana,SPECIES,139458,Tilia americana,American Basswood,Standard,G5,G5
Tillandsia fasciculata,SPECIES,146854,Tillandsia fasciculata,Quill-leaf Airplant,Standard,G5,G5
Tillandsia ionantha,SPECIES,885210,Tillandsia ionantha,NA,Provisional,GNR,GNR
Tillandsia usneoides,SPECIES,132985,Tillandsia usneoides,Spanish-moss,Standard,G5,G5
Torreya californica,SPECIES,135995,Torreya californica,California Torreya,Standard,G4,G4
Torreya taxifolia,SPECIES,137133,Torreya taxifolia,Florida Torreya,Standard,G1,G1
Toxicodendron vernix,SPECIES,146258,Toxicodendron vernix,Poison-sumac,Standard,G5,G5
Tradescantia occidentalis,SPECIES,139914,Tradescantia occidentalis,Prairie Spiderwort,Standard,G5,G5
Trapa natans,SPECIES,149241,Trapa natans,Water Chestnut,Standard,GNR,GNR
Triadenum fraseri,SPECIES,144628,Triadenum fraseri,Fraser's Marsh-St. John's-wort,Standard,G5,G5
Triadenum virginicum,SPECIES,132701,Triadenum virginicum,Virginia Marsh-St. John's-wort,Standard,G5,G5
Triadica sebifera,SPECIES,147870,Triadica sebifera,Chinese Tallowtree,Standard,GNR,GNR
Trichophorum alpinum,SPECIES,159344,Trichophorum alpinum,Alpine Cotton-grass,Standard,G5,G5
Trichophorum caespitosum,SPECIES,133090,Trichophorum caespitosum,Tufted Clubrush,Standard,G5,G5
Trichophorum clintonii,SPECIES,154250,Trichophorum clintonii,Clinton's Bulrush,Standard,G4,G4
Trichostigma octandrum,SPECIES,147308,Trichostigma octandrum,Hoop Vine,Standard,G4,G4G5
Trientalis borealis,SPECIES,141286,Trientalis borealis,Northern Starflower,Standard,G5,G5
Trifolium amabile,SPECIES,1134355,Trifolium amabile,Aztec Clover,Standard,GNR,GNR
Trifolium subterraneum,SPECIES,160617,Trifolium subterraneum,Subterranean Clover,Standard,GNR,GNR
Triglochin maritima,SPECIES,135893,Triglochin maritima,Common Bog Arrow-grass,Standard,G5,G5
Tripsacum lanceolatum,SPECIES,137221,Tripsacum lanceolatum,Lanceleaf Gamagrass,Standard,G4,G4
Triumfetta semitriloba,SPECIES,152188,Triumfetta semitriloba,Sacramento Burbark,Standard,G5,G5
Trixis inula,SPECIES,135791,Trixis inula,Tropical Trixis,Standard,G5,G5
Trollius laxus,SPECIES,146278,Trollius laxus,Spreading Globeflower,Standard,G5,G5
Tsuga canadensis,SPECIES,131718,Tsuga canadensis,Eastern Hemlock,Standard,G5,G5
Tsuga heterophylla,SPECIES,140839,Tsuga heterophylla,Western Hemlock,Standard,G5,G5
Tsuga mertensiana,SPECIES,156219,Tsuga mertensiana,Mountain Hemlock,Standard,G5,G5
Typha angustifolia,SPECIES,160663,Typha angustifolia,Narrowleaf Cattail,Standard,G5,G5
Typha domingensis,SPECIES,144988,Typha domingensis,Southern Cattail,Standard,G4,G4G5
Ulex europaeus,SPECIES,146475,Ulex europaeus,Gorse,Standard,GNR,GNR
Ulmus alata,SPECIES,143910,Ulmus alata,Winged Elm,Standard,G5,G5
Ulmus americana,SPECIES,136896,Ulmus americana,American Elm,Standard,G4,G4
Ulmus crassifolia,SPECIES,128702,Ulmus crassifolia,Cedar Elm,Standard,G5,G5
Ulmus glabra,SPECIES,128339,Ulmus glabra,Wych Elm,Standard,GNR,GNR
Ulmus rubra,SPECIES,128125,Ulmus rubra,Slippery Elm,Standard,G5,G5
Ulmus serotina,SPECIES,147050,Ulmus serotina,September Elm,Standard,G4,G4
Ulmus thomasii,SPECIES,141424,Ulmus thomasii,Rock Elm,Standard,G5,G5
Umbellularia californica,SPECIES,144045,Umbellularia californica,California Bay,Standard,G5,G5
