query_name,recordType,elementGlobalId,scientificName,primaryCommonName,classificationStatus,roundedGRank,gRank
Parnassia kotzebuei,SPECIES,134742,Parnassia kotzebuei,Kotzebue's Grass-of-Parnassus,Standard,G5,G5
Parnassia palustris,SPECIES,740516,Parnassia palustris,Marsh Grass-of-Parnassus,Standard,G5,G5
Paspalidium geminatum,SPECIES,138582,Paspalidium geminatum,Egyptian Paspalum,Standard,G5,G5
Paspalum conjugatum,SPECIES,132047,Paspalum conjugatum,Sour Crowngrass,Standard,G5,G5
Paspalum distichum,SPECIES,147763,Paspalum distichum,Joint Paspalum,Standard,G5,G5
Paspalum repens,SPECIES,133624,Paspalum repens,Water Paspalum,Provisional,G5,G5?
Paspalum scrobiculatum,SPECIES,141455,Paspalum scrobiculatum,India Paspalum,Standard,GNR,GNR
Paspalum vaginatum,SPECIES,155393,Paspalum vaginatum,Seashore Paspalum,Standard,G5,G5
Pedicularis groenlandica,SPECIES,153390,Pedicularis groenlandica,Bull Elephant's-head,Standard,G5,G5
Pedicularis labradorica,SPECIES,144710,Pedicularis labradorica,Labrador Lousewort,Standard,G5,G5
Pedicularis lanceolata,SPECIES,132098,Pedicularis lanceolata,Swamp Lousewort,Standard,G5,G5
Pedicularis palustris,SPECIES,135174,Pedicularis palustris,Purple Lousewort,Standard,G4,G4G5
Pedicularis parviflora,SPECIES,154084,Pedicularis parviflora,Small-flower Lousewort,Standard,G4,G4G5
Pedicularis sudetica,SPECIES,128264,Pedicularis sudetica,Sudetic Lousewort,Standard,G5,G5
Pediocactus bradyi,SPECIES,128223,Pediocactus bradyi,Brady's Pincushion Cactus,Standard,G1,G1
Pediocactus nigrispinus,SPECIES,796904,Pediocactus nigrispinus,Snowball Cactus,Standard,G4,G4
Pediocactus paradinei,SPECIES,156067,Pediocactus paradinei,Park Pincushion Cactus,Standard,G1,G1G2
Pediocactus peeblesianus,SPECIES,133095,Pediocactus peeblesianus,Peebles' Hedgehog Cactus,Standard,G2,G2
Pediocactus simpsonii,SPECIES,893052,Pediocactus simpsonii,Simpson's Hedgehog Cactus,Standard,G5,G5?
Peltandra virginica,SPECIES,152139,Peltandra virginica,Green Arrow-arum,Standard,G5,G5
Peniocereus greggii,SPECIES,149459,Peniocereus greggii,Desert Night-blooming Cereus,Standard,G3,G3G4
Penthorum sedoides,SPECIES,155509,Penthorum sedoides,Ditch-stonecrop,Standard,G5,G5
