species,limit,n_records
Astragalus whitneyi,50000,455
Astragalus williamsii,50000,63
Astrophytum asterias,50000,36
Atamisquea emarginata,50000,139
Athyrium haleakalae,50000,2
Avicennia germinans,50000,4603
Azolla microphylla,50000,273
Baccharis dioica,50000,66
Baccharis halimifolia,50000,5333
Bacopa monnieri,50000,2843
Bacopa rotundifolia,50000,332
Baldellia ranunculoides,50000,17704
Baphia massaiensis,50000,413
Baptisia sphaerocarpa,50000,207
Barbarea vulgaris,50000,50000
Bartonia paniculata,50000,140
Basiphyllaea corallicola,50000,1
Bauhinia purpurea,50000,335
Bauhinia variegata,50000,948
Beckmannia syzigachne,50000,2161
Bergerocactus emoryi,50000,455
Berula erecta,50000,50000
Betula alleghaniensis,50000,4655
Betula cordifolia,50000,566
Betula glandulosa,50000,2813
Betula lenta,50000,1168
Betula michauxii,50000,155
Betula murrayana,50000,8
Betula nana,50000,50000
Betula nigra,50000,1424
Betula occidentalis,50000,1056
Betula papyrifera,50000,6451
Betula pendula,50000,50000
Betula populifolia,50000,1572
Betula pubescens,50000,50000
Betula pumila,50000,2034
Bidens amplectens,50000,4
Bidens amplissima,50000,143
Bidens beckii,50000,476
Bidens campylotheca,50000,86
Bidens cernua,50000,50000
Bidens conjuncta,50000,12
Bidens cosmoides,50000,12
Bidens eatonii,50000,125
Bidens forbesii,50000,7
Bidens frondosa,50000,41944
Bidens hyperborea,50000,202
Bidens micrantha,50000,44
Bidens molokaiensis,50000,7
Bidens populifolia,50000,1
Bidens trichosperma,50000,377
Bidens tripartita,50000,50000
Bidens valida,50000,6
Bidens vulgata,50000,805
Bidens wiebkei,50000,10
Bixa orellana,50000,2765
Blyxa aubertii,50000,403
Bobea sandwicensis,50000,4
Bobea timonioides,50000,5
Boehmeria cylindrica,50000,2309
Boisduvalia glabella,50000,28
Bolboschoenus maritimus,50000,50000
Bolboschoenus novae-angliae,50000,14
Boltonia asteroides,50000,480
Bonamia menziesii,50000,12
Borrichia arborescens,50000,405
Bourreria succulenta,50000,717
Brachiaria mutica,50000,3547
Brachiaria reptans,50000,818
Brachiaria subquadripara,50000,232
Brachiaria texana,50000,233
Brasenia schreberi,50000,2049
Brasiliopuntia brasiliensis,50000,374
Brighamia insignis,50000,6
Brighamia rockii,50000,8
Brodiaea minor,50000,91
