species,limit,n_records
Elodea canadensis,50000,50000
Elodea nuttallii,50000,50000
Elymus elongatus,50000,472
Elymus farctus,50000,5464
Elymus hispidus,50000,1560
Elymus violaceus,50000,7386
Ephedra antisyphilitica,50000,134
Ephedra aspera,50000,1072
Ephedra californica,50000,913
Ephedra coryi,50000,9
Ephedra cutleri,50000,104
Ephedra fasciculata,50000,165
Ephedra funerea,50000,152
Ephedra nevadensis,50000,954
Ephedra pedunculata,50000,69
Ephedra torreyana,50000,577
Ephedra trifurca,50000,815
Ephedra viridis,50000,1253
Epilobium angustifolium,50000,50000
Epilobium ciliatum,50000,50000
Epilobium coloratum,50000,339
Epilobium hirsutum,50000,50000
Epilobium latifolium,50000,3341
Epilobium leptophyllum,50000,988
Epilobium palustre,50000,50000
Epilobium parviflorum,50000,50000
Epilobium strictum,50000,101
Epipactis gigantea,50000,1208
Epithelantha bokei,50000,27
Epithelantha micromeris,50000,300
Equisetum arvense,50000,50000
Equisetum fluviatile,50000,50000
Equisetum giganteum,50000,790
Equisetum hyemale,50000,34323
Equisetum palustre,50000,50000
Equisetum ramosissimum,50000,21304
Equisetum scirpoides,50000,6713
Equisetum telmateia,50000,50000
Eragrostis fosbergii,50000,0
Eragrostis hypnoides,50000,1172
Eragrostis japonica,50000,1379
Eragrostis prolifera,50000,468
Eragrostis silveana,50000,52
Eragrostis unioloides,50000,599
Erica lusitanica,50000,6002
Erigeron elatus,50000,258
Erigeron lonchophyllus,50000,686
Eriocaulon aquaticum,50000,2363
Eriochloa procera,50000,1442
Eriophorum angustifolium,50000,50000
Eriophorum callitrix,50000,233
Eriophorum chamissonis,50000,1432
Eriophorum tenellum,50000,555
Eriophorum vaginatum,50000,50000
Eriophorum virginicum,50000,1535
Eriophorum viridicarinatum,50000,979
Erithalis fruticosa,50000,416
Ernodea littoralis,50000,366
Erythrina flabelliformis,50000,443
Erythrina herbacea,50000,1263
Erythrina sandwicensis,50000,31
Erythrina variegata,50000,628
Erythrostemon phyllanthoides,50000,1
Erythroxylum havanense,50000,436
Escobaria alversonii,50000,165
Escobaria dasyacantha,50000,37
Escobaria duncanii,50000,11
Escobaria emskoetteriana,50000,38
Escobaria hesteri,50000,2
Escobaria minima,50000,1
Escobaria missouriensis,50000,465
Escobaria robbinsorum,50000,0
Escobaria sneedii,50000,201
Escobaria tuberculosa,50000,586
Escobaria vivipara,50000,892
Esenbeckia runyonii,50000,27
Etlingera elatior,50000,600
Eucalyptus bridgesiana,50000,6433
Eucalyptus grandis,50000,2727
Eucalyptus marginata,50000,1405
Eucalyptus pilularis,50000,9001
Eucephalus engelmannii,50000,281
Eugenia axillaris,50000,836
Eugenia confusa,50000,94
Eugenia foetida,50000,431
Eugenia koolauensis,50000,4
Eugenia rhombea,50000,306
Eulophia ecristata,50000,87
Euonymus atropurpureus,50000,753
Euonymus occidentalis,50000,233
Eupatorium maculatum,50000,421
Eupatorium perfoliatum,50000,3758
Euphorbia arnottiana,50000,4
Euphorbia atrococca,50000,8
Euphorbia clusiifolia,50000,6
Euphorbia deppeana,50000,1
Euphorbia eleanoriae,50000,1
Euphorbia haeleeleana,50000,6
Euphorbia halemanui,50000,8
Euphorbia herbstii,50000,6
Euphorbia kuwaleana,50000,2
Euphorbia olowaluana,50000,21
Euphorbia remyi,50000,19
Euphorbia rockii,50000,20
Euphorbia skottsbergii,50000,17
Euphorbia sparsiflora,50000,4
Euphorbia tithymaloides,50000,777
Euphrasia hudsoniana,50000,62
Eurya sandwicensis,50000,15
Eurybia furcata,50000,65
Eurybia radula,50000,337
Euthamia graminifolia,50000,4048
Eutrema edwardsii,50000,1099
Exocarpos gaudichaudii,50000,13
Exocarpos luteolus,50000,5
Exostema caribaeum,50000,832
Exothea paniculata,50000,406
Eysenhardtia orthocarpa,50000,134
Eysenhardtia polystachya,50000,1180
Eysenhardtia texana,50000,477
Fagus grandifolia,50000,11932
Fauria crista-galli,50000,590
Ferocactus cylindraceus,50000,3983
Ferocactus emoryi,50000,335
Ferocactus hamatacanthus,50000,991
Ferocactus wislizeni,50000,3065
Festuca aloha,50000,2
Festuca elmeri,50000,100
Ficus americana,50000,4051
Ficus citrifolia,50000,1828
Ficus microcarpa,50000,2237
Filipendula ulmaria,50000,50000
Fimbristylis autumnalis,50000,1721
Fimbristylis dichotoma,50000,15659
Fimbristylis littoralis,50000,2733
Fimbristylis quinquangularis,50000,1820
Fimbristylis schoenoides,50000,317
Flueggea neowawraea,50000,22
Forestiera acuminata,50000,129
Forestiera angustifolia,50000,318
Frangula californica,50000,4036
Frangula caroliniana,50000,1351
Frangula purshiana,50000,868
Fraxinus americana,50000,4278
Fraxinus anomala,50000,539
Fraxinus berlandieriana,50000,113
Fraxinus caroliniana,50000,291
Fraxinus cuspidata,50000,250
Fraxinus dipetala,50000,594
Fraxinus gooddingii,50000,64
Fraxinus greggii,50000,206
Fraxinus latifolia,50000,606
Fraxinus nigra,50000,1789
Fraxinus pennsylvanica,50000,5270
Fraxinus profunda,50000,209
Fraxinus quadrangulata,50000,442
Fraxinus uhdei,50000,871
Fraxinus velutina,50000,1172
Fremontodendron californicum,50000,758
Fritillaria falcata,50000,14
Fuirena umbellata,50000,3022
Galanthus nivalis,50000,50000
Galeandra bicarinata,50000,0
Galium asprellum,50000,791
Galium labradoricum,50000,582
Galium tinctorium,50000,882
Galium trifidum,50000,9906
Galium triflorum,50000,7264
Galium uliginosum,50000,50000
Gardenia brighamii,50000,22
Gardenia mannii,50000,7
Gardenia remyi,50000,5
Garrya elliptica,50000,631
Garrya flavescens,50000,671
Garrya fremontii,50000,333
Garrya ovata,50000,589
Garrya wrightii,50000,423
Gaultheria hispidula,50000,1645
Gaylussacia bigeloviana,50000,123
Gentiana douglasiana,50000,216
Gentiana rubricaulis,50000,158
Gentiana sceptrum,50000,239
Gentianopsis crinita,50000,626
Gentianopsis detonsa,50000,1417
Gentianopsis virgata,50000,531
Geocaulon lividum,50000,1162
Geothallus tuberosus,50000,7
Geranium arboreum,50000,8
Geranium kauaiense,50000,0
Geranium multiflorum,50000,7
Geum peckii,50000,156
Geum rivale,50000,50000
Gladiolus italicus,50000,7514
Gleditsia aquatica,50000,142
Gleditsia microphylla,50000,1
Gleditsia triacanthos,50000,6032
Gloriosa superba,50000,2424
Glossostigma diandrum,50000,763
Glyceria borealis,50000,1217
Glyceria canadensis,50000,1456
Glyceria fluitans,50000,50000
Glyceria grandis,50000,1694
Glyceria leptostachya,50000,101
Glyceria maxima,50000,50000
Glyceria melicaria,50000,469
Glyceria notata,50000,28902
Glyceria obtusa,50000,350
Glyceria pulchella,50000,130
Glyceria septentrionalis,50000,293
Glyceria striata,50000,5040
Glycyrrhiza lepidota,50000,1850
Gnaphalium palustre,50000,1207
Gordonia lasianthus,50000,293
Gossypium thurberi,50000,248
Gossypium tomentosum,50000,91
Gouania hillebrandii,50000,3
Gouania meyenii,50000,2
Gouania vitifolia,50000,4
Gratiola aurea,50000,123
Gratiola ebracteata,50000,198
Gratiola neglecta,50000,806
Gratiola officinalis,50000,8838
Guaiacum sanctum,50000,1483
Guettarda elliptica,50000,1061
Guettarda scabra,50000,226
Guilandina bonduc,50000,359
Gymnanthes lucida,50000,503
Haematoxylum campechianum,50000,1491
Halesia carolina,50000,253
Halesia diptera,50000,236
Halodule wrightii,50000,11213
Halophila decipiens,50000,50000
Halophila engelmanni,50000,0
Halophila hawaiiana,50000,15
Halophila johnsonii,50000,15
Hamamelis vernalis,50000,215
Hamamelis virginiana,50000,4556
Hamelia patens,50000,6267
Hammarbya paludosa,50000,9759
Harrisia gracilis,50000,8
Havardia pallens,50000,520
Hedysarum alpinum,50000,1325
Helianthus annuus,50000,26855
Helianthus anomalus,50000,72
Helianthus argophyllus,50000,252
Helianthus arizonensis,50000,21
Helianthus atrorubens,50000,156
Helianthus bolanderi,50000,258
Helianthus californicus,50000,256
Helianthus debilis,50000,939
Helianthus decapetalus,50000,713
Helianthus deserticola,50000,74
Helianthus divaricatus,50000,1115
Helianthus exilis,50000,114
Helianthus giganteus,50000,899
Helianthus grosseserratus,50000,701
Helianthus hirsutus,50000,644
Helianthus maximiliani,50000,1909
Helianthus neglectus,50000,106
Helianthus niveus,50000,517
Helianthus nuttallii,50000,704
Helianthus paradoxus,50000,59
Helianthus pauciflorus,50000,1713
Helianthus petiolaris,50000,2324
Helianthus praecox,50000,133
Helianthus resinosus,50000,129
Helianthus salicifolius,50000,237
Helianthus silphioides,50000,84
Helianthus tuberosus,50000,18155
Helictotrichon canescens,50000,25
Helietta parvifolia,50000,311
Heliotropium curassavicum,50000,8612
Hemarthria altissima,50000,841
Heracleum maximum,50000,4360
Hesperomannia arborescens,50000,10
Hesperomannia arbuscula,50000,1
Hesperomannia lydgatei,50000,5
Hesperoyucca newberryi,50000,44
Hesperoyucca whipplei,50000,3961
Heteranthera dubia,50000,730
Heteromeles arbutifolia,50000,7629
Hexalectris revoluta,50000,3
Hexalectris warnockii,50000,55
Hibiscadelphus distans,50000,2
Hibiscadelphus giffardianus,50000,10
Hibiscadelphus hualalaiensis,50000,2
Hibiscadelphus stellatus,50000,8
Hibiscus arnottianus,50000,39
Hibiscus brackenridgei,50000,19
Hibiscus clayi,50000,12
Hibiscus moscheutos,50000,1843
Hibiscus tiliaceus,50000,3212
Hippocrepis comosa,50000,50000
Hippomane mancinella,50000,581
Hippuris lanceolata,50000,999
Hippuris tetraphylla,50000,852
Hippuris vulgaris,50000,39271
Hoffmannseggia repens,50000,41
Hordeum arizonicum,50000,45
Hordeum brachyantherum,50000,2528
Hordeum depressum,50000,578
Hordeum jubatum,50000,9270
Hordeum pusillum,50000,1761
Hydrastis canadensis,50000,565
Hydrilla verticillata,50000,10227
Hydrocharis morsus-ranae,50000,50000
Hydrocotyle americana,50000,1041
Hydrocotyle ranunculoides,50000,6920
Hydrocotyle sibthorpioides,50000,8919
Hydrocotyle umbellata,50000,1191
Hygrophila pinnatifida,50000,0
Hylocereus undatus,50000,673
Hypelate trifoliata,50000,70
Hypericum anagalloides,50000,673
Hypericum boreale,50000,550
Hypericum ellipticum,50000,681
Hypericum majus,50000,651
Ilex ambigua,50000,56
Ilex amelanchier,50000,29
Ilex cassine,50000,670
Ilex collina,50000,6
Ilex coriacea,50000,250
Ilex cuthbertii,50000,1
Ilex decidua,50000,2051
Ilex glabra,50000,1194
Ilex laevigata,50000,168
Ilex longipes,50000,76
Ilex montana,50000,135
Ilex mucronata,50000,1774
Ilex myrtifolia,50000,61
Ilex opaca,50000,5265
Ilex verticillata,50000,4347
Ilex vomitoria,50000,3269
Illicium floridanum,50000,429
Impatiens capensis,50000,16771
Impatiens noli-tangere,50000,50000
Indigofera miniata,50000,1300
Indigofera trita,50000,1497
Inga sertulifera,50000,500
Ipomoea aquatica,50000,2148
Ipomoea cordatotriloba,50000,2539
Ipomoea lacunosa,50000,1236
Ipomoea littoralis,50000,380
Ipomoea tenuissima,50000,26
Ipomoea triloba,50000,3185
Iris brevicaulis,50000,69
Iris lacustris,50000,210
Iris missouriensis,50000,1491
Iris prismatica,50000,38
Iris pseudacorus,50000,50000
Iris versicolor,50000,3152
Iris virginica,50000,900
Isodendrion laurifolium,50000,1
Isodendrion longifolium,50000,2
Isodendrion pyrifolium,50000,1
Isoetes bolanderi,50000,234
Isoetes echinospora,50000,9771
Isoetes engelmannii,50000,207
Isoetes howellii,50000,215
Isoetes lacustris,50000,15411
Isoetes maritima,50000,109
Isoetes nuttallii,50000,218
Isoetes prototypus,50000,13
Isoetes riparia,50000,156
Isoetes tuckermanii,50000,185
Isolepis cernua,50000,11905
Isolepis setacea,50000,31292
Isotria medeoloides,50000,24
Iva xanthifolia,50000,721
Jatropha cinerea,50000,425
Jatropha dioica,50000,924
Jaumea carnosa,50000,606
Juglans californica,50000,1264
Juglans cinerea,50000,2439
Juglans hindsii,50000,694
Juglans major,50000,674
Juglans microcarpa,50000,290
Juglans nigra,50000,5974
Juncus acuminatus,50000,1781
Juncus acutus,50000,13670
Juncus alpinoarticulatus,50000,45610
Juncus anthelatus,50000,243
Juncus articulatus,50000,50000
Juncus balticus,50000,11806
Juncus biglumis,50000,9927
Juncus bolanderi,50000,157
Juncus brachycephalus,50000,271
Juncus brevicaudatus,50000,1582
Juncus bufonius,50000,50000
Juncus bulbosus,50000,50000
Juncus caesariensis,50000,43
Juncus canadensis,50000,531
Juncus compressus,50000,42399
Juncus conglomeratus,50000,50000
Juncus dudleyi,50000,2051
Juncus effusus,50000,50000
Juncus filiformis,50000,50000
Juncus hybridus,50000,10685
Juncus inflexus,50000,50000
Juncus kelloggii,50000,57
Juncus lesueurii,50000,99
Juncus marginatus,50000,1894
Juncus mertensianus,50000,979
Juncus militaris,50000,298
Juncus minutulus,50000,2719
Juncus nodosus,50000,1642
Juncus oxymeris,50000,273
Juncus pelocarpus,50000,985
Juncus stygius,50000,7222
Juncus subcaudatus,50000,154
Juncus subtilis,50000,176
Juncus supiniformis,50000,215
Juncus triglumis,50000,13899
Juniperus arizonica,50000,82
Juniperus ashei,50000,1247
Juniperus californica,50000,2080
Juniperus coahuilensis,50000,351
Juniperus communis,50000,50000
Juniperus deppeana,50000,2624
Juniperus flaccida,50000,1209
Juniperus horizontalis,50000,1543
Juniperus monosperma,50000,845
Juniperus occidentalis,50000,1697
Juniperus osteosperma,50000,2050
Juniperus pinchotii,50000,357
Juniperus scopulorum,50000,1969
Juniperus virginiana,50000,9016
Justicia americana,50000,1111
Kadua cookiana,50000,6
Kadua cordata,50000,23
Kadua coriacea,50000,2
Kadua degeneri,50000,3
Kadua flynnii,50000,7
Kadua haupuensis,50000,8
Kadua laxiflora,50000,1
Kadua parvula,50000,6
Kadua st-johnii,50000,0
Kalmia latifolia,50000,3538
Kalmia microphylla,50000,1088
Kalmia polifolia,50000,1871
Kanaloa kahoolawensis,50000,0
Karwinskia humboldtiana,50000,1942
Kobresia simpliciuscula,50000,2603
Koeberlinia spinosa,50000,1101
Koenigia islandica,50000,5132
Kokia drynarioides,50000,9
Kokia kauaiensis,50000,1
Kosteletzkya pentacarpos,50000,1260
Krugiodendron ferreum,50000,701
Kyllinga brevifolia,50000,0
Kyllinga bulbosa,50000,0
Labordia cyrtandrae,50000,1
Labordia helleri,50000,20
Labordia hirtella,50000,23
Labordia hosakana,50000,0
Labordia kaalae,50000,1
Labordia lorenceana,50000,0
Labordia lydgatei,50000,8
Labordia triflora,50000,2
Lachnanthes caroliana,50000,76
Lackeya multiflora,50000,48
Laguncularia racemosa,50000,3647
Landoltia punctata,50000,1541
Larix laricina,50000,4389
Larix lyallii,50000,171
Larix occidentalis,50000,394
Lasiacis divaricata,50000,1661
Lasthenia glaberrima,50000,153
Lathyrus angulatus,50000,3943
Lathyrus aphaca,50000,19271
Lathyrus cicera,50000,0
Lathyrus hirsutus,50000,11268
Lathyrus japonicus,50000,11307
Lathyrus latifolius,50000,35372
Lathyrus palustris,50000,21246
Lathyrus rotundifolius,50000,494
Lathyrus sphaericus,50000,7787
Lathyrus sylvestris,50000,37614
Lathyrus tingitanus,50000,2365
Leersia hexandra,50000,4925
Leersia oryzoides,50000,20956
Leersia virginica,50000,871
Leitneria floridana,50000,97
Lemna aequinoctialis,50000,2148
Lemna gibba,50000,50000
Lemna minor,50000,50000
Lemna minuta,50000,14441
Lemna perpusilla,50000,222
Lemna trisulca,50000,50000
Lemna turionifera,50000,3694
Lepidium arbuscula,50000,0
Lepidium orbiculare,50000,0
Lepidium serra,50000,5
Lepidospartum squamatum,50000,897
Leptecophylla tameiameiae,50000,384
Leptochloa panicea,50000,1134
Lespedeza cuneata,50000,3517
Lespedeza hirta,50000,623
Lespedeza thunbergii,50000,1391
Leucaena pulverulenta,50000,270
Leucaena retusa,50000,130
Leucojum aestivum,50000,4145
Licaria triandra,50000,926
Ligustrum lucidum,50000,7690
Lilaeopsis occidentalis,50000,155
Limbella fryei,50000,12
Limnophila indica,50000,119
Limosella acaulis,50000,211
Limosella aquatica,50000,15061
Lindera benzoin,50000,3710
Lindernia dubia,50000,8077
Lipocarpha maculata,50000,29
Lipocarpha micrantha,50000,542
Liquidambar styraciflua,50000,9323
Liriodendron tulipifera,50000,9368
Littorella uniflora,50000,0
Lobelia cardinalis,50000,5696
Lobelia dortmanna,50000,22389
Lobelia gaudichaudii,50000,0
Lobelia kalmii,50000,1429
Lobelia koolauensis,50000,1
Lobelia monostachya,50000,1
Lobelia niihauensis,50000,10
Lobelia oahuensis,50000,1
Lobelia siphilitica,50000,3498
Lobelia spicata,50000,1620
Lomatogonium rotatum,50000,804
Lonicera caerulea,50000,8618
Lonicera oblongifolia,50000,409
Lophophora williamsii,50000,232
Lotus aboriginus,50000,20
Lotus nuttallianus,50000,40
Ludwigia alternifolia,50000,1093
Ludwigia leptocarpa,50000,1701
Ludwigia octovalvis,50000,10135
Ludwigia palustris,50000,10943
Ludwigia polycarpa,50000,175
Lupinus abramsii,50000,21
Lupinus argenteus,50000,4960
Lupinus breweri,50000,438
Lupinus diffusus,50000,325
Lupinus grayi,50000,169
Lupinus kingii,50000,336
Lupinus microcarpus,50000,2845
Lupinus nootkatensis,50000,2174
Lupinus obtusilobus,50000,110
Lupinus peirsonii,50000,63
Lupinus rivularis,50000,509
Lupinus texensis,50000,3446
Lupinus variicolor,50000,227
Lupinus westianus,50000,25
Luzula wahlenbergii,50000,2622
Lycopodiella appressa,50000,401
Lycopodiella inundata,50000,30120
Lycopus americanus,50000,2863
Lycopus asper,50000,443
Lycopus europaeus,50000,50000
Lycopus rubellus,50000,371
Lycopus uniflorus,50000,2540
Lycopus virginicus,50000,612
Lysichiton americanus,50000,5754
Lysiloma latisiliquum,50000,1185
Lysiloma watsonii,50000,140
Lysimachia ciliata,50000,3511
Lysimachia daphnoides,50000,11
Lysimachia glutinosa,50000,12
Lysimachia hybrida,50000,419
Lysimachia iniki,50000,0
Lysimachia kalalauensis,50000,14
Lysimachia lydgatei,50000,5
Lysimachia maritima,50000,50000
Lysimachia maxima,50000,5
Lysimachia ovoidea,50000,2
Lysimachia pendens,50000,3
Lysimachia punctata,50000,24860
Lysimachia scopulensis,50000,2
Lysimachia terrestris,50000,2266
Lysimachia thyrsiflora,50000,50000
Lysimachia venosa,50000,1
Lysimachia vulgaris,50000,50000
Lythrum alatum,50000,1459
Lythrum hyssopifolia,50000,23976
Lythrum junceum,50000,4861
Lythrum portula,50000,40841
Lythrum salicaria,50000,50000
Maackia amurensis,50000,762
Maclura pomifera,50000,3857
Magnolia acuminata,50000,507
Magnolia fraseri,50000,377
Magnolia grandiflora,50000,2139
Magnolia macrophylla,50000,579
Magnolia tripetala,50000,749
Magnolia virginiana,50000,975
Malaxis bayardii,50000,12
Malaxis brachystachys,50000,113
Malaxis wendtii,50000,8
Malpighia glabra,50000,2458
Malus angustifolia,50000,310
Malus coronaria,50000,562
Malus fusca,50000,1124
Malus ioensis,50000,409
Mammillaria dioica,50000,1482
Mammillaria grahamii,50000,1667
Mammillaria heyderi,50000,796
Mammillaria lasiacantha,50000,240
Mammillaria mainiae,50000,33
Mammillaria pottsii,50000,136
Mammillaria prolifera,50000,199
Mammillaria sphaerica,50000,37
Mammillaria tetrancistra,50000,614
Mammillaria thornberi,50000,12
Mammillaria wrightii,50000,22
Manihot angustiloba,50000,315
Manihot davisiae,50000,68
Manihot walkerae,50000,30
Manilkara jaimiqui,50000,96
Marina orcuttii,50000,104
Marina parryi,50000,1102
Marsilea minuta,50000,231
Marsilea quadrifolia,50000,3870
Marsilea villosa,50000,13
Maytenus phyllanthoides,50000,405
Melanthera fauriei,50000,2
Melanthera kamolensis,50000,22
Melanthera micrantha,50000,0
Melanthera tenuifolia,50000,1
Melanthera waimeaensis,50000,3
Melicope adscendens,50000,3
Melicope balloui,50000,5
Melicope christophersenii,50000,1
Melicope cinerea,50000,2
Melicope degeneri,50000,14
Melicope haupuensis,50000,6
Melicope hawaiensis,50000,25
Melicope kaalaensis,50000,0
Melicope knudsenii,50000,6
Melicope lydgatei,50000,0
Melicope makahae,50000,1
Melicope mucronulata,50000,2
Melicope oppenheimeri,50000,2
Melicope orbicularis,50000,8
Melicope ovalis,50000,1
Melicope pallida,50000,3
Melicope puberula,50000,4
Melicope quadrangularis,50000,1
Melicope reflexa,50000,0
Melicope saint-johnii,50000,0
Melicope sandwicensis,50000,3
Melicope waialealae,50000,8
Melicope wawraeana,50000,13
Melicope zahlbruckneri,50000,1
Melochia pyramidata,50000,2807
Mentha arvensis,50000,50000
Mentha pulegium,50000,50000
Mentha spicata,50000,19816
Mentha suaveolens,50000,50000
Menyanthes trifoliata,50000,50000
Metrosideros macropus,50000,7
Metrosideros rugosa,50000,9
Metrosideros tremuloides,50000,7
Metrosideros waialealae,50000,19
Mezoneuron kavaiense,50000,5
Microseris borealis,50000,164
Mimosa aculeaticarpa,50000,1630
Mimosa quadrivalvis,50000,2389
Mimosa wherryana,50000,5
Mimulus alatus,50000,553
Mimulus alsinoides,50000,29
Mimulus dentatus,50000,30
Mimulus floribundus,50000,450
Mimulus glabratus,50000,1252
Mimulus guttatus,50000,0
Mimulus lewisii,50000,327
Mimulus moschatus,50000,1450
Mimulus ringens,50000,2567
Mimulus tilingii,50000,205
Minuartia pusilla,50000,0
Montia chamissoi,50000,621
Montia fontana,50000,47385
Montia parvifolia,50000,821
Morella californica,50000,792
Morella cerifera,50000,3876
Morella pensylvanica,50000,1219
Morinda royoc,50000,906
Morinda trimera,50000,9
Morus microphylla,50000,358
Morus rubra,50000,1406
Muhlenbergia arenicola,50000,436
Muhlenbergia glomerata,50000,933
Muhlenbergia spiciformis,50000,260
Muhlenbergia uniflora,50000,505
Myosurus apetalus,50000,222
Myrcianthes fragrans,50000,1096
Myrica gale,50000,50000
Myriophyllum alterniflorum,50000,35524
Myriophyllum farwellii,50000,205
Myriophyllum heterophyllum,50000,1559
Myriophyllum hippuroides,50000,144
Myriophyllum humile,50000,251
Myriophyllum pinnatum,50000,204
Myriophyllum quitense,50000,366
Myriophyllum sibiricum,50000,6230
Myriophyllum spicatum,50000,50000
Myriophyllum tenellum,50000,507
Myriophyllum ussuriense,50000,176
Myriophyllum verticillatum,50000,15770
Myrsine cubana,50000,212
Myrsine degeneri,50000,1
Myrsine fernseei,50000,1
Myrsine fosbergii,50000,5
Myrsine juddii,50000,1
Myrsine knudsenii,50000,4
Myrsine linearifolia,50000,16
Myrsine mezii,50000,0
Myrsine petiolata,50000,3
Najas flexilis,50000,2742
Najas gracillima,50000,276
Najas guadalupensis,50000,1679
Najas marina,50000,16063
Najas minor,50000,4314
Nasturtium officinale,50000,50000
Navarretia leucocephala,50000,430
Nechamandra alternifolia,50000,32
Nelumbo lutea,50000,1194
Neobeckia aquatica,50000,37
Neolloydia conoidea,50000,360
Neonotonia wightii,50000,1331
Neottia cordata,50000,35875
Neptunia plena,50000,863
Neraudia angulata,50000,1
Neraudia kauaiensis,50000,6
Neraudia melastomifolia,50000,13
Neraudia ovata,50000,10
Neraudia sericea,50000,3
Nerium oleander,50000,44775
Nesoluma polynesicum,50000,3
Nitella flexilis,50000,7349
Nitella oligospira,50000,45
Nolina bigelovii,50000,393
Nothocestrum breviflorum,50000,12
Nothocestrum latifolium,50000,6
Nothocestrum longifolium,50000,27
Nothocestrum peltatum,50000,14
Notholithocarpus densiflorus,50000,1994
Nototrichium humile,50000,8
Nuphar pumila,50000,4678
Nymphaea leibergii,50000,72
Nymphaea loriana,50000,0
Nymphaea odorata,50000,4540
Nymphaea tetragona,50000,2267
Nymphoides cordata,50000,424
Nymphoides parvifolia,50000,193
Nymphoides peltata,50000,19998
Nyssa aquatica,50000,205
Nyssa ogeche,50000,99
Nyssa sylvatica,50000,2275
Ochrosia haleakalae,50000,2
Ochrosia kauaiensis,50000,3
Ochrosia kilaueaensis,50000,0
Oclemena nemoralis,50000,705
Oeceoclades maculata,50000,1739
Oemleria cerasiformis,50000,2148
Oenanthe aquatica,50000,50000
Oenanthe sarmentosa,50000,778
Olneya tesota,50000,1676
Oncidium ensatum,50000,74
Onoclea sensibilis,50000,12985
Opuntia abjecta,50000,5
Opuntia atrispina,50000,32
Opuntia aurea,50000,159
Opuntia aureispina,50000,28
Opuntia basilaris,50000,4002
Opuntia chlorotica,50000,986
Opuntia engelmannii,50000,5255
Opuntia fragilis,50000,872
Opuntia humifusa,50000,2559
Opuntia littoralis,50000,1171
Opuntia macrocentra,50000,760
Opuntia macrorhiza,50000,1052
Opuntia oricola,50000,191
Opuntia phaeacantha,50000,2564
Opuntia pinkavae,50000,102
Opuntia polyacantha,50000,3651
Opuntia pottsii,50000,106
Opuntia pusilla,50000,154
Opuntia robusta,50000,1874
Opuntia rufida,50000,304
Opuntia stricta,50000,23454
Opuntia strigil,50000,13
Oryza nivara,50000,4151
Osmunda regalis,50000,50000
Ostrya knowltonii,50000,106
Ostrya virginiana,50000,5023
Ottelia alismoides,50000,466
Oxydendrum arboreum,50000,846
Oxypolis occidentalis,50000,102
Oxypolis rigidior,50000,661
Oxyrhynchus volubilis,50000,58
Oxytropis lambertii,50000,1629
Ozobryum ogalalense,50000,10
Pachycereus schottii,50000,811
Pandanus tectorius,50000,1086
Panicum acuminatum,50000,7335
Panicum niihauense,50000,2
Panicum scabriusculum,50000,333
Panicum strigosum,50000,237
Parkinsonia aculeata,50000,37574
Parkinsonia florida,50000,1213
Parnassia fimbriata,50000,522
Parnassia glauca,50000,768
Parnassia kotzebuei,50000,657
Parnassia palustris,50000,50000
Paspalidium geminatum,50000,157
Paspalum conjugatum,50000,5311
Paspalum distichum,50000,18490
Paspalum pleostachyum,50000,72
Paspalum repens,50000,662
Paspalum scrobiculatum,50000,6989
Paspalum vaginatum,50000,3996
Pavonia paludicola,50000,165
Pavonia spinifex,50000,165
Pedicularis furbishiae,50000,10
Pedicularis groenlandica,50000,1736
Pedicularis labradorica,50000,967
Pedicularis lanceolata,50000,504
Pedicularis palustris,50000,50000
Pedicularis parviflora,50000,250
Pedicularis sudetica,50000,1521
Pediocactus bradyi,50000,3
Pediocactus despainii,50000,3
Pediocactus knowltonii,50000,2
Pediocactus nigrispinus,50000,45
Pediocactus paradinei,50000,0
Pediocactus peeblesianus,50000,0
Pediocactus sileri,50000,0
Pediocactus simpsonii,50000,364
Pediocactus winkleri,50000,1
Pediomelum aromaticum,50000,55
Peltandra virginica,50000,1165
Peltophorum africanum,50000,566
Peniocereus greggii,50000,211
Peniocereus striatus,50000,207
Penthorum sedoides,50000,1506
Pentodon pentandrus,50000,992
Pereskia aculeata,50000,618
Peristylus holochila,50000,3
Persea borbonia,50000,338
Persicaria amphibia,50000,50000
Persicaria arifolia,50000,741
Persicaria hydropiper,50000,50000
Persicaria hydropiperoides,50000,4832
Persicaria lapathifolia,50000,50000
Persicaria maculosa,50000,50000
Persicaria robustior,50000,137
Persicaria sagittata,50000,3461
Petasites frigidus,50000,9654
Peucephyllum schottii,50000,1129
Phalaris arundinacea,50000,50000
Phaseolus acutifolius,50000,2320
Phaseolus angustissimus,50000,685
Phaseolus filiformis,50000,1275
Phaseolus leptostachyus,50000,1580
Phaseolus maculatus,50000,493
Phaseolus parvulus,50000,323
Phaseolus polystachios,50000,677
Phaseolus ritensis,50000,372
Phaseolus scabrellus,50000,9
Philodendron gloriosum,50000,23
Phippsia algida,50000,2985
Phlegmariurus nutans,50000,7
Phleum alpinum,50000,41115
Phragmites australis,50000,50000
Phyla lanceolata,50000,1034
Phyla nodiflora,50000,10188
Phyllospadix scouleri,50000,730
Phyllospadix serrulatus,50000,107
Phyllospadix torreyi,50000,636
Phyllostegia electra,50000,19
Phyllostegia haliakalae,50000,1
Phyllostegia helleri,50000,1
Phyllostegia hirsuta,50000,13
Phyllostegia hispida,50000,2
Phyllostegia kaalaensis,50000,0
