scientificName,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat,overClassified,underClassified,correctlyClassified,redlistCriteria,B1_binary,B2_binary,5,8,NA,11,7,2,1,9,4,6,3,10,12,Tree,Shrub,Succulent,Graminoid,Forb or Herb,Annual,Geophyte,Moss/Hydrophyte,Vines/Epiphyte/Lithophyte,Fern,EOOcat_long
Quercus lobata,Quercus lobata,2017,Near Threatened,NA,NA,NA,280000,280000,LC,429,Yes,328774.223590734,1056,VU,136790.947838459,LC,137756.334230833,LC,135290.25635071922,LC,4,59124.3790260834,16,EN,30543.5415067992,LC,30295.66886449675,LC,30295.66886449675,LC,425,319446.727751176,996,VU,134458.302752198,LC,135762.58100863383,LC,133296.50312852007,LC,0,1,0,A3c,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Quercus pacifica,Quercus pacifica,2016,Endangered,NA,NA,NA,3800,3800,EN,20,No,18999.4581748031,80,EN,6240.59864148804,VU,6268.631342671939,VU,NA,NA,1,0,4,CR,0,CR,0,CR,NA,NA,19,18999.4581748031,76,EN,4764.25084532166,EN,4777.305829097877,EN,NA,NA,0,1,0,B1ab(v),1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Vulnerable
Quercus palmeri,Quercus palmeri,2016,Near Threatened,2800,2800,NT,623500,623500,LC,6,Yes,719271.156220948,24,EN,217557.677817536,LC,220150.90137814125,LC,220150.90137814125,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,719271.156220948,24,EN,217557.677817536,LC,220150.90137814125,LC,220150.90137814125,LC,0,1,0,"A3c; B2b(ii,iii)",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Quercus parvula,Quercus parvula,2016,Near Threatened,740,740,VU,138225,138225,LC,8,Yes,116857.361963801,28,EN,4236.86411732904,EN,5616.536607097369,VU,5511.946322897005,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,116857.361963801,28,EN,4236.86411732904,EN,5616.536607097369,VU,5511.946322897005,VU,1,0,0,NA,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Endangered
Quercus sadleriana,Quercus sadleriana,2016,Near Threatened,NA,NA,NA,14000,14000,VU,3,Yes,1983.52618840822,12,EN,927.397007388802,EN,932.5398637248436,EN,932.5398637248436,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1983.52618840822,12,EN,927.397007388802,EN,932.5398637248436,EN,932.5398637248436,EN,1,0,0,NA,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Endangered
Quercus tomentella,Quercus tomentella,2016,Endangered,200-250,200,EN,43500,43500,LC,24,No,97712.3461843067,36,EN,17261.2432811741,VU,17795.823268807486,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,97712.3461843067,36,EN,17261.2432811741,VU,17795.823268807486,VU,NA,NA,0,1,0,"B2ab(i,ii,iv,v)",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Vulnerable
Sabatia kennedyana,Sabatia kennedyana,2015,Near Threatened,1120,1120,VU,NA,NA,NA,5,Yes,97508.667168229,20,EN,7910.64282253131,VU,7870.08793673187,VU,674.7103242133671,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,97508.667168229,20,EN,7910.64282253131,VU,7870.08793673187,VU,674.7103242133671,EN,1,0,0,NA,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Vulnerable
Sarracenia alata,Sarracenia alata,2000,Near Threatened,NA,NA,NA,NA,NA,NA,5,Yes,68541.5503444595,20,EN,37410.1475550176,LC,37580.22194108105,LC,37580.22194108105,LC,4,55785.2910129596,16,EN,17077.3272516237,VU,17189.349542003183,VU,17189.349542003183,VU,1,0,4,CR,0,CR,0,CR,0,CR,0,1,0,NA,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Least Concern
Sequoia sempervirens,Sequoia sempervirens,2011,Endangered,1400-2000,1400,VU,44000,44000,LC,528,Yes,377113029.489424,1400,VU,246272793.689586,LC,97796519.1267834,LC,41312677.877309114,LC,270,288176624.929441,760,VU,81059200.2329643,LC,77487695.77977298,LC,32838600.421969764,LC,258,261262199.59059,656,VU,91235929.7968827,LC,93040834.77449147,LC,40408179.09426321,LC,0,1,0,A2acd,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Sequoiadendron giganteum,Sequoiadendron giganteum,2011,Endangered,142,142,EN,13000,13000,VU,1006,Yes,294076342.359622,2612,NT,87955554.7046237,LC,85385397.87931484,LC,36462293.25582155,LC,559,284116511.33898,1588,VU,79362579.6032172,LC,75441627.8002338,LC,31472039.294009507,LC,447,28676775.5748961,1204,VU,12232659.6248588,LC,14000392.7924372,LC,5251620.8887482155,LC,0,1,0,"B2ab(ii,iii,v)",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Solidago houghtonii,Solidago houghtonii,2015,Near Threatened,10-296,10,EN,NA,NA,NA,4,Yes,19711.1330477412,16,EN,2694.88254234644,EN,2714.140761331917,EN,2714.140761331917,EN,1,0,4,CR,0,CR,0,CR,0,CR,3,116.173157894216,12,EN,51.4915363575115,CR,51.53688227637758,CR,51.53688227637758,CR,1,0,0,NA,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Endangered
Swietenia mahagoni,Swietenia mahagoni,2018,Near Threatened,NA,NA,NA,NA,NA,NA,65,Yes,150444653.400192,260,EN,69081034.6641193,LC,50491418.937342085,LC,24812555.135622464,LC,13,19214693.400438,52,EN,8909337.32945385,LC,11224007.978231456,LC,5064105.363530525,LC,52,149916520.777375,204,EN,67391962.4029216,LC,50040681.72166817,LC,24755765.04278651,LC,0,1,0,A2cd,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Symphyotrichum nahanniense,Symphyotrichum nahanniense,2015,Near Threatened,24,24,EN,2834,2834,EN,4,Yes,2070.22324612146,16,EN,504.284629333313,EN,500.8118579668371,EN,500.8118579668371,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2070.22324612146,16,EN,504.284629333313,EN,500.8118579668371,EN,500.8118579668371,EN,1,0,0,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Endangered
Taxus brevifolia,Taxus brevifolia,2012,Near Threatened,NA,NA,NA,NA,NA,NA,15,Yes,15398987.234637,56,EN,2612139.00066659,LC,2259239.39231224,LC,1630851.592649996,LC,1,0,4,CR,0,CR,0,CR,0,CR,14,15398987.234637,52,EN,2612139.00066658,LC,2259239.39231224,LC,1630851.592649996,LC,0,1,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
Torreya californica,Torreya californica,2011,Vulnerable,NA,NA,NA,NA,NA,NA,6,Yes,14472333.5309899,24,EN,2164294.16959389,LC,1990972.7529103544,LC,1391211.9626895203,LC,1,0,4,CR,0,CR,0,CR,0,CR,5,125232.577743099,20,EN,63702.7821972573,LC,65218.94152802997,LC,65203.842949704034,LC,0,1,0,A1cd,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Torreya taxifolia,Torreya taxifolia,2010,Critically Endangered,50,50,EN,203,203,EN,3,Yes,90.2002499620428,12,EN,19.7362621250706,CR,19.79225489444616,CR,19.79225489444616,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,90.2002499620428,12,EN,19.7362621250706,CR,19.79225489444616,CR,19.79225489444616,CR,0,0,1,A2ace,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Critically Endangered
Tsuga canadensis,Tsuga canadensis,2011,Near Threatened,NA,NA,NA,NA,NA,NA,1838,Yes,22740181.388703,1232,VU,11451282.872357,LC,11603571.905724326,LC,3680425.759960863,LC,248,14886968.1095742,380,EN,6938533.70144756,LC,7284823.039663094,LC,1914096.568503744,LC,1590,22740181.388703,940,VU,11437781.9475287,LC,11584349.723857766,LC,3663618.3967476874,LC,0,1,0,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Ulmus americana,Ulmus americana,2018,Endangered,NA,NA,NA,NA,NA,NA,10978,Yes,208929235.704251,4332,LC,63503621.7073977,LC,74840140.87231411,LC,34522737.26621415,LC,9695,135860616.747793,952,VU,16054173.6008467,LC,39333937.96887133,LC,17109371.54101434,LC,1283,208392825.994111,3444,LC,63353379.319977,LC,74485696.16958897,LC,34380855.62170207,LC,0,1,0,A3e,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Viola chamissoniana,Viola chamissoniana,2016,Vulnerable,NA,NA,NA,17200,17200,VU,6,Yes,159.250158417977,24,EN,95.4133378938601,CR,95.82470026684314,CR,95.82470026684314,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,159.250158417977,24,EN,95.4133378938601,CR,95.82470026684314,CR,95.82470026684314,CR,1,0,0,B1ab(iii),1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Critically Endangered
Washingtonia filifera,Washingtonia filifera,1998,Near Threatened,NA,NA,NA,NA,NA,NA,10,Yes,1857706.72107813,32,EN,1246294.25834659,LC,1250110.7007339103,LC,502202.9881067143,LC,2,3794.88496059661,8,CR,0,CR,0,CR,0,CR,8,1821824.89827907,28,EN,1228360.12119819,LC,1232068.5109567854,LC,493353.8785310785,LC,0,1,0,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Wilkesia gymnoxiphium,Wilkesia gymnoxiphium,2017,Endangered,85,85,EN,181.6,181.6,EN,4,Yes,282.72545815273,16,EN,17.1220482841558,CR,17.1885556473444,CR,14.417531375211183,CR,1,0,4,CR,0,CR,0,CR,NA,NA,3,282.72545815273,12,EN,1.5645978894248,CR,1.5173437330304296,CR,1.4301839558545169,CR,1,0,0,B1ab(iii)+2ab(iii),1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Critically Endangered
Yucca necopina,Yucca necopina,2020,Vulnerable,NA,NA,NA,39828,39828,LC,97,Yes,28962.279832716,116,EN,16869.3281379072,VU,17004.372783459956,VU,17004.372783459956,VU,1,0,4,CR,0,CR,0,CR,0,CR,96,28962.279832716,100,EN,16869.3281379071,VU,17004.372783459956,VU,17004.372783459956,VU,0,0,1,A4c,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Vulnerable
Zanthoxylum flavum,Zanthoxylum flavum,2019,Vulnerable,248,248,EN,3259116,3259116,LC,10,No,1385298.67795354,40,EN,106384.307840292,LC,97000.56376292944,LC,NA,NA,7,44293.611426501,28,EN,4028.02836357207,EN,3998.704385226145,EN,NA,NA,3,1325877.65879633,12,EN,51039.4718085789,LC,41016.98134230054,LC,NA,NA,0,1,0,A2cd,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
