scientificName,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat,overClassified,underClassified,correctlyClassified,redlistCriteria,B1_binary,B2_binary,5,8,NA,11,7,2,1,9,4,6,3,10,12,Tree,Shrub,Succulent,Graminoid,Forb or Herb,Annual,Geophyte,Moss/Hydrophyte,Vines/Epiphyte/Lithophyte,Fern,EOOcat_long
Fraxinus pennsylvanica,Fraxinus pennsylvanica,2017,Critically Endangered,NA,NA,NA,9000000,9000000,LC,35821,Yes,308997058.99431,3044,LC,99838873.2059645,LC,113760836.53561744,LC,55436017.87848449,LC,35163,30636519.4654447,1328,VU,15979065.0897277,LC,16131030.221778644,LC,6680706.934189884,LC,658,274782563.754593,1744,VU,122577546.06527,LC,113723741.60607477,LC,55398922.94894181,LC,0,1,0,A3e+4ae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Fraxinus profunda,Fraxinus profunda,2017,Critically Endangered,NA,NA,NA,1000000,1000000,LC,17,Yes,1806448.43514261,56,EN,1021975.29744699,LC,1019069.924564066,LC,1019069.924564066,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1806448.43514261,56,EN,1021975.29744699,LC,1019069.924564066,LC,1019069.924564066,LC,0,1,0,A3e+4ae,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Fraxinus quadrangulata,Fraxinus quadrangulata,2017,Critically Endangered,NA,NA,NA,1145982,1145982,LC,41,Yes,24541582.9359959,140,EN,4148271.17286363,LC,3326262.8715726044,LC,1712728.799870801,LC,10,765375.389318204,28,EN,373737.932568242,LC,368886.5120686832,LC,368886.5120686832,LC,31,24541582.9359959,120,EN,4148271.17286363,LC,3326262.8715726044,LC,1712728.799870801,LC,0,1,0,A3e+4ae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Galanthus nivalis,Galanthus nivalis,2008,Near Threatened,NA,NA,NA,3800000,3800000,LC,1596,Yes,17659768.0542195,3964,LC,9671642.67262303,LC,10252870.145566983,LC,3468694.32228049,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1596,17659768.0542195,3964,LC,9671642.67262303,LC,10252870.145566983,LC,3468694.32228049,LC,0,1,0,NA,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Least Concern
Geum peckii,Geum peckii,2015,Near Threatened,112,112,EN,NA,NA,NA,4,Yes,7496.8022220633,16,EN,3746.09918353644,EN,3745.566880880033,EN,3257.7752533551356,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7496.8022220633,16,EN,3746.09918353644,EN,3745.566880880033,EN,3257.7752533551356,EN,1,0,0,NA,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Endangered
Gossypium thurberi,Gossypium thurberi,2016,Endangered,352.000,352,EN,182411.500,182411.5,LC,9,Yes,4716.63324084175,24,EN,1269.00257970155,EN,1261.5562849559356,EN,1261.5562849559356,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4716.63324084175,24,EN,1269.00257970155,EN,1261.5562849559356,EN,1261.5562849559356,EN,0,0,1,"B2ab(i,ii,iii)",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Endangered
Gossypium tomentosum,Gossypium tomentosum,2017,Vulnerable,872,872,VU,23953,23953,NT,14,Yes,8300.23391350743,56,EN,3093.91368225363,EN,3110.0948820828635,EN,553.8739656572038,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8300.23391350743,56,EN,3093.91368225363,EN,3110.0948820828635,EN,553.8739656572038,EN,1,0,0,"B2ab(i,ii,iii,iv,v)",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Endangered
Guaiacum sanctum,Guaiacum sanctum,2016,Near Threatened,NA,NA,NA,NA,NA,NA,727,Yes,14644995.2803835,112,EN,6167476.62239377,LC,6137025.220477173,LC,3431629.0664983555,LC,1,0,4,CR,0,CR,0,CR,0,CR,726,14644995.2803835,108,EN,6167476.62239377,LC,6137025.220477173,LC,3431629.0664983555,LC,0,1,0,A2c,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Hibiscus arnottianus,Hibiscus arnottianus,2020,Endangered,752,752,VU,3401,3401,EN,19,Yes,116613.760216729,76,EN,11651.7975303679,VU,11732.51867221843,VU,2758.239663895083,EN,2,5791.99022747467,8,CR,0,CR,0,CR,0,CR,17,64617.8671794155,68,EN,7652.70981886859,VU,7691.570171140949,VU,2063.2335173759348,EN,0,1,0,B1ab(iii),1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Vulnerable
Hydrastis canadensis,Hydrastis canadensis,2014,Vulnerable,2500-12500,2500,NT,1200000-1250000,1200000,LC,42,Yes,22993681.1438742,148,EN,3598957.35443425,LC,3292876.126848621,LC,1445165.3500377194,LC,1,0,4,CR,0,CR,0,CR,0,CR,41,22993681.1438742,144,EN,3598957.35443425,LC,3292876.126848621,LC,1445165.3500377194,LC,0,1,0,A2cd+4cd,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Least Concern
