scientificName,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat,overClassified,underClassified,correctlyClassified,5,8,"NA",11,7,2,1,9,4,6,3,10,12,Tree,Shrub,Succulent,Graminoid,Forb or Herb,Annual,Geophyte,Moss/Hydrophyte,Vines/Epiphyte/Lithophyte,Fern,EOOcat_long
Aralia humilis,Aralia humilis,2018,Least Concern,972.00,972,VU,1333550.28,1333550.28,LC,6,Yes,654326.582099648,24,EN,110087.26692843,LC,116321.46351168165,LC,116321.46351168165,LC,3,4119.97710887674,12,EN,130.236711892204,EN,136.112613055564,EN,136.112613055564,EN,3,654326.582099648,12,EN,90283.0772888893,LC,95660.02115613455,LC,95660.02115613455,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Aralia spinosa,Aralia spinosa,2018,Least Concern,1488.00,1488,VU,3373089.67,3373089.67,LC,360,Yes,32864846.9442097,1124,VU,13390436.644786,LC,13888449.161037138,LC,4029991.2550980537,LC,13,22347546.270165,48,EN,3612487.57282551,LC,2961570.1100414116,LC,891553.6771749158,LC,347,32864846.9442097,1080,VU,13390436.644786,LC,13888449.161037138,LC,4029991.2550980537,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Arbutus arizonica,Arbutus arizonica,2018,Least Concern,716.00,716,VU,827789.63,827789.63,LC,83,Yes,1157906.79376341,136,EN,285267.884217157,LC,317439.34805553034,LC,317439.34805553034,LC,7,4907.72396617861,8,CR,0,CR,0,CR,0,CR,76,1157906.79376341,136,EN,285247.094731179,LC,317419.3056899961,LC,317419.3056899961,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Arbutus menziesii,Arbutus menziesii,2018,Least Concern,NA,NA,NA,NA,NA,NA,1464,Yes,32009650.8119746,3020,LC,10555302.1508596,LC,8707539.238795478,LC,6781339.986409997,LC,31,306985.374408247,112,EN,174944.980100814,LC,183229.46587519808,LC,169565.27024533175,LC,1433,32009650.8119746,2988,NT,10555302.1508595,LC,8707539.238795478,LC,6781339.986409997,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Arctanthemum arcticum,Arctanthemum arcticum,2015,Least Concern,NA,NA,NA,NA,NA,NA,22,Yes,12420394.1735245,80,EN,9075154.87371494,LC,20229696.509502515,LC,13101266.198506314,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,12420394.1735245,80,EN,9075154.87371494,LC,20229696.509502515,LC,13101266.198506314,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Least Concern
Arctophila fulva,Arctophila fulva,2015,Least Concern,NA,NA,NA,NA,NA,NA,276,Yes,24777717.7953107,208,EN,11213811.6162603,LC,10705512.492589412,LC,4705769.478351548,LC,88,4741776.63173518,116,EN,1375292.60695223,LC,1319202.0841642786,LC,830891.7539893265,LC,188,22431608.8102081,132,EN,10075778.4741087,LC,9359319.825050844,LC,4191341.647378712,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Least Concern
Arctostaphylos columbiana,Arctostaphylos columbiana,2018,Least Concern,1788.00,1788,VU,1969851.19,1969851.19,LC,83,Yes,1539708.31360111,224,EN,749085.189754918,LC,757441.611092201,LC,732168.1749808375,LC,3,148367.033934969,12,EN,8969.08622650221,VU,4547.117091287277,EN,4547.117091287277,EN,80,1539708.31360111,204,EN,749079.82619523,LC,757436.1515465104,LC,732166.7419726771,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Arctostaphylos glauca,Arctostaphylos glauca,2018,Least Concern,4060.00,4060,LC,397063.80,397063.8,LC,307,Yes,497951.121965112,648,VU,181465.772910876,LC,185058.95813321718,LC,175297.48266193294,LC,5,133221.046772984,16,EN,27255.2542145892,NT,27913.968218710826,NT,27913.968218710826,NT,302,497951.121965111,632,VU,181465.772910876,LC,185058.95813321718,LC,175297.48266193294,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Arctostaphylos pringlei,Arctostaphylos pringlei,2018,Least Concern,900.00,900,VU,536761.91,536761.91,LC,48,Yes,336127.648888698,144,EN,205384.909100873,LC,205965.73242393974,LC,201456.61231343317,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,336127.648888698,144,EN,205384.909100873,LC,205965.73242393974,LC,201456.61231343317,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Arctostaphylos pungens,Arctostaphylos pungens,2018,Least Concern,4592.00,4592,LC,4142535.02,4142535.02,LC,424,Yes,5771779.03752473,1016,VU,2266875.03421743,LC,2303262.7951593953,LC,2069471.7545550566,LC,17,3846479.85639675,60,EN,977315.176665258,LC,990969.0696004136,LC,980299.7231596811,LC,407,5771779.03752473,968,VU,2266875.03421743,LC,2303262.7951593953,LC,2069471.7545550566,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
