assessmentId,internalTaxonId,scientificName,code,name
2296216,194072,Quercus carmenensis,TS,Tree - small
2296302,194074,Quercus cerris,TL,Tree - large
2296502,194076,Quercus chrysolepis,SL,Shrub - large
2296502,194076,Quercus chrysolepis,TS,Tree - small
2296502,194076,Quercus chrysolepis,TL,Tree - large
2296706,194079,Quercus coccinea,TL,Tree - large
2301887,194127,Quercus falcata,TL,Tree - large
2302046,194130,Quercus fusiformis,TL,Tree - large
2302147,194132,Quercus gambelii,SL,Shrub - large
2302147,194132,Quercus gambelii,TS,Tree - small
2302183,194133,Quercus garryana,SL,Shrub - large
2302183,194133,Quercus garryana,TS,Tree - small
2302183,194133,Quercus garryana,TL,Tree - large
2302219,194134,Quercus geminata,TL,Tree - large
2302375,194137,Quercus hemisphaerica,TL,Tree - large
2303387,194186,Quercus laurifolia,TL,Tree - large
2303635,194195,Quercus marilandica,SL,Shrub - large
2303635,194195,Quercus marilandica,TS,Tree - small
2303665,194196,Quercus michauxii,TL,Tree - large
2303725,194198,Quercus minima,SS,Shrub - small
2303755,194199,Quercus mohriana,TS,Tree - small
2303967,194204,Quercus myrtifolia,SL,Shrub - large
2303967,194204,Quercus myrtifolia,TS,Tree - small
2303997,194205,Quercus nigra,TL,Tree - large
2304635,194220,Quercus phellos,TL,Tree - large
2304665,194221,Quercus polymorpha,TS,Tree - small
2304962,194224,Quercus pumila,SS,Shrub - small
2305058,194226,Quercus rubra,TL,Tree - large
2305094,194227,Quercus rugosa,SL,Shrub - large
2305094,194227,Quercus rugosa,TS,Tree - small
2305418,194234,Quercus sinuata,TL,Tree - large
2305418,194234,Quercus sinuata,SL,Shrub - large
