assessmentId,internalTaxonId,scientificName,code,name
10852085,44098,Cyanea glabra,S,Shrub - size unknown
10853805,44052,Cyanea st-johnii,S,Shrub - size unknown
10853947,44054,Cyrtandra kaulantha,S,Shrub - size unknown
10854011,44055,Cyrtandra polyantha,S,Shrub - size unknown
10854142,44057,Gouania vitifolia,V,Vines
10854142,44057,Gouania vitifolia,S,Shrub - size unknown
10854258,44058,Alsinidendron obovatum,S,Shrub - size unknown
10854258,44058,Alsinidendron obovatum,SS,Shrub - small
10854339,44064,Phyllostegia mollis,F,Forb or Herb
10854416,44065,Schiedea adamantis,S,Shrub - size unknown
10854561,44067,Schiedea kaalae,S,Shrub - size unknown
10854645,44068,Labordia cyrtandrae,S,Shrub - size unknown
10854725,44069,Lobelia monostachya,S,Shrub - size unknown
10855151,44160,Bidens campylotheca,SS,Shrub - small
10856036,44104,Cyanea acuminata,S,Shrub - size unknown
10856226,44105,Cyanea asplenifolia,S,Shrub - size unknown
10856407,44106,Cyanea calycina,S,Shrub - size unknown
10856571,44107,Cyanea fauriei,S,Shrub - size unknown
10857043,44110,Alsinidendron trinerve,SS,Shrub - small
10857544,44111,Alsinidendron viscosum,SS,Shrub - small
10857697,44112,Argyroxiphium caliginis,SS,Shrub - small
10858069,44113,Argyroxiphium kauense,S,Shrub - size unknown
10858398,44114,Bidens amplectens,F,Forb or Herb
10858550,44115,Bidens conjuncta,F,Forb or Herb
10858867,44117,Bidens molokaiensis,F,Forb or Herb
10859398,44118,Bidens populifolia,SS,Shrub - small
10859398,44118,Bidens populifolia,F,Forb or Herb
10859607,44119,Bidens wiebkei,F,Forb or Herb
10859774,44120,Canavalia molokaiensis,V,Vines
10860798,44122,Canavalia pubescens,V,Vines
10860956,44123,Capparis sandwichiana,S,Shrub - size unknown
10861117,44124,Clermontia calophylla,S,Shrub - size unknown
10861402,44125,Clermontia waimeae,S,Shrub - size unknown
10861402,44125,Clermontia waimeae,T,Tree - size unknown
10862276,44128,Ctenitis squamigera,PT,Fern
10862572,44129,Bonamia menziesii,V,Vines
10862735,44131,Euphorbia eleanoriae,SS,Shrub - small
10862794,44132,Euphorbia halemanui,S,Shrub - size unknown
10862946,44134,Euphorbia sparsiflora,SS,Shrub - small
10863109,44136,Centaurium sebaeoides,F,Forb or Herb
10863184,44137,Calamagrostis expansa,GR,Graminoid
10863250,44138,Calamagrostis hillebrandii,GR,Graminoid
